meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Olympic Games London 2012,14:31.02,04/08/2012,Men 1500 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,1,1,1010,London,GBR
19th FINA World Championships Budapest 2022,14:32.80,25/06/2022,Men 1500 Freestyle LCM Male,ITA,Italy,"PALTRINIERI, Gregorio",M,05/09/1994,,,2,2,993,Budapest,HUN
57th International Trophy “Settecolli”,14:33.10,13/08/2020,Men 1500 Freestyle LCM Male,ITA,Italy,"PALTRINIERI, Gregorio",M,05/09/1994,,,3,3,992,Rome,ITA
European Championships 2016,14:34.04,18/05/2016,Men 1500 Freestyle LCM Male,ITA,Italy,"PALTRINIERI, Gregorio",M,05/09/1994,,,4,4,989,London,GBR
14th FINA World Championships 2011,14:34.14,31/07/2011,Men 1500 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,5,5,1001,Shanghai,CHN
9th FINA World Championships 2001,14:34.56,29/07/2001,Men 1500 Freestyle LCM Male,AUS,Australia,"HACKETT, Grant",M,09/05/1980,,,6,6,,Fukuoka,JPN
Olympic Games Rio 2016,14:34.57,13/08/2016,Men 1500 Freestyle LCM Male,ITA,Italy,"PALTRINIERI, Gregorio",M,05/09/1994,,,7,7,987,Rio de Janeiro,BRA
16th Asian Games 2010,14:35.43,18/11/2010,Men 1500 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,8,8,997,Guangzhou,CHN
17th FINA World Championships 2017,14:35.85,30/07/2017,Men 1500 Freestyle LCM Male,ITA,Italy,"PALTRINIERI, Gregorio",M,05/09/1994,,,9,9,983,Budapest,HUN
European Championships 2018,14:36.15,05/08/2018,Men 1500 Freestyle LCM Male,GER,Germany,"WELLBROCK, Florian",M,19/08/1997,,,10,10,982,Glasgow,GBR
German Trials 2021,14:36.45,18/04/2021,Men 1500 Freestyle LCM Male,GER,Germany,"WELLBROCK, Florian",M,19/08/1997,,,11,11,981,Berlin,GER
