meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
13th FINA World Championships 2009,07:32.12,29/07/2009,Men 800 Freestyle LCM Male,CHN,People's Republic of China,"ZHANG, Lin",M,06/01/1987,,,1,1,,Rome,ITA
13th FINA World Championships 2009,07:35.27,29/07/2009,Men 800 Freestyle LCM Male,TUN,Tunisia,"MELLOULI, Ous",M,16/02/1984,,,2,2,,Rome,ITA
14th FINA World Championships 2011,07:38.57,27/07/2011,Men 800 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,3,3,958,Shanghai,CHN
11th FINA World Championships 2005,07:38.65,27/07/2005,Men 800 Freestyle LCM Male,AUS,Australia,"HACKETT, Grant",M,09/05/1980,,,4,4,,Montreal,CAN
9th FINA World Championships 2001,07:39.16,24/07/2001,Men 800 Freestyle LCM Male,AUS,Australia,"THORPE, Ian",M,13/10/1982,,,5,5,,Fukuoka,JPN
18th FINA World Championships 2019,07:39.27,24/07/2019,Men 800 Freestyle LCM Male,ITA,Italy,"PALTRINIERI, Gregorio",M,05/09/1994,,,6,6,954,Gwangju,KOR
19th FINA World Championships Budapest 2022,07:39.36,21/06/2022,Men 800 Freestyle LCM Male,USA,United States of America,"FINKE, Bobby",M,06/11/1999,,,7,7,953,Budapest,HUN
19th FINA World Championships Budapest 2022,07:39.63,21/06/2022,Men 800 Freestyle LCM Male,GER,Germany,"WELLBROCK, Florian",M,19/08/1997,,,8,8,951,Budapest,HUN
16th FINA World Championships 2015,07:39.96,05/08/2015,Men 800 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,9,9,949,Kazan,RUS
19th FINA World Championships Budapest 2022,07:40.05,21/06/2022,Men 800 Freestyle LCM Male,UKR,Ukraine,"ROMANCHUK, Mykhailo",M,07/08/1996,,,10,10,949,Budapest,HUN
57th International Trophy “Settecolli”,07:40.22,12/08/2020,Men 800 Freestyle LCM Male,ITA,Italy,"PALTRINIERI, Gregorio",M,05/09/1994,,,11,11,948,Rome,ITA
9th FINA World Championships 2001,07:40.34,24/07/2001,Men 800 Freestyle LCM Male,AUS,Australia,"HACKETT, Grant",M,09/05/1980,,,12,12,,Fukuoka,JPN
17th FINA World Championships 2017,07:40.77,26/07/2017,Men 800 Freestyle LCM Male,ITA,Italy,"DETTI, Gabriele",M,29/08/1994,,,13,13,944,Budapest,HUN
16th FINA World Championships 2015,07:40.81,05/08/2015,Men 800 Freestyle LCM Male,ITA,Italy,"PALTRINIERI, Gregorio",M,05/09/1994,,,14,14,944,Kazan,RUS
