meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
17th FINA World Championships 2017,23.67,29/07/2017,Women 50 Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,1,1,1007,Budapest,HUN
17th FINA World Championships 2017,23.69,30/07/2017,Women 50 Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,2,2,1005,Budapest,HUN
13th FINA World Championships 2009,23.73,02/08/2009,Women 50 Freestyle LCM Female,GER,Germany,"STEFFEN, Britta",F,16/11/1983,,,3,3,,Rome,ITA
European Championships 2018,23.74,04/08/2018,Women 50 Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,4,4,991,Glasgow,GBR
European Championships 2018,23.75,04/08/2018,Women 50 Freestyle LCM Female,DEN,Denmark,"BLUME, Pernille",F,14/05/1994,,,5,5,989,Glasgow,GBR
Swedish National Championships (50m),23.78,30/06/2019,Women 50 Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,6,6,986,Malmo,SWE
21st Commonwealth Games 2018,23.78,07/04/2018,Women 50 Freestyle LCM Female,AUS,Australia,"CAMPBELL, Cate",F,20/05/1992,,,6,7,986,Gold Coast,AUS
Hancock Prospecting National Championships Australia (50m),23.79,03/03/2018,Women 50 Freestyle LCM Female,AUS,Australia,"CAMPBELL, Cate",F,20/05/1992,,,8,8,984,Gold Coast,AUS
Olympic Games Tokyo 2020,23.81,01/08/2021,Women 50 Freestyle LCM Female,AUS,Australia,"MCKEON, Emma",F,24/05/1994,,,9,9,982,Tokyo,JPN
13th Pan Pacific Championships 2018,23.81,12/08/2018,Women 50 Freestyle LCM Female,AUS,Australia,"CAMPBELL, Cate",F,20/05/1992,,,9,10,982,Tokyo,JPN
