meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
13th FINA World Championships 2009,46.91,30/07/2009,Men 100 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10/01/1987,,,1,1,,Rome,ITA
French National Championships (50m),46.94,23/04/2009,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,01/05/1983,,,2,2,,Montpellier,FRA
18th FINA World Championships 2019,46.96,25/07/2019,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,3,3,996,Gwangju,KOR
Olympic Games Tokyo 2020,47.02,29/07/2021,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,4,4,992,Tokyo,JPN
Australian National Championships (50m),47.04,10/04/2016,Men 100 Freestyle LCM Male,AUS,Australia,"MCEVOY, Cameron",M,13/05/1994,,,5,5,991,Adelaide,AUS
Olympic Games Beijing 2008,47.05,13/08/2008,Men 100 Freestyle LCM Male,AUS,Australia,"SULLIVAN, Eamon",M,30/08/1985,,,6,6,1032,Beijing,CHN
Olympic Games Tokyo 2020,47.08,29/07/2021,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25/06/1998,,,7,7,989,Tokyo,JPN
18th FINA World Championships 2019,47.08,25/07/2019,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25/06/1998,,,7,8,989,Gwangju,KOR
13th FINA World Championships 2009,47.09,26/07/2009,Men 100 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10/01/1987,,,9,9,,Rome,ITA
2012 EnergyAustralia Swimming,47.10,15/03/2012,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,11/04/1991,,,10,10,987,Adelaide,AUS
Olympic Games Tokyo 2020,47.11,28/07/2021,Men 100 Freestyle LCM Male,ROC,ROC,"KOLESNIKOV, Kliment",M,09/07/2000,,,11,11,987,Tokyo,JPN
13th FINA World Championships 2009,47.12,30/07/2009,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,01/05/1983,,,12,12,,Rome,ITA
19th FINA World Championships Budapest 2022,47.13,21/06/2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,13,13,986,Budapest,HUN
17th FINA World Championships 2017,47.17,27/07/2017,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,14,14,983,Budapest,HUN
Olympic Games Beijing 2008,47.20,13/08/2008,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,01/05/1983,,,15,15,1023,Beijing,CHN
Olympic Games Beijing 2008,47.21,14/08/2008,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,01/05/1983,,,16,16,1022,Beijing,CHN
Olympic Games Tokyo 2020,47.23,28/07/2021,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,17,17,979,Tokyo,JPN
Olympic Games Beijing 2008,47.24,11/08/2008,Men 100 Freestyle LCM Male,AUS,Australia,"SULLIVAN, Eamon",M,30/08/1985,,,18,18,1020,Beijing,CHN
13th FINA World Championships 2009,47.25,30/07/2009,Men 100 Freestyle LCM Male,FRA,France,"BOUSQUET, Frederick",M,08/04/1981,,,19,19,,Rome,ITA
Olympic Games Tokyo 2020,47.26,26/07/2021,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,20,20,977,Tokyo,JPN
17th FINA World Championships 2017,47.26,23/07/2017,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,20,21,977,Budapest,HUN
13th FINA World Championships 2009,47.27,30/07/2009,Men 100 Freestyle LCM Male,CAN,Canada,"HAYDEN, Brent",M,21/10/1983,,,22,22,,Rome,ITA
13th FINA World Championships 2009,47.27,29/07/2009,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,01/05/1983,,,22,23,,Rome,ITA
European Junior Swimming Championships 2021,47.30,08/07/2021,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,24,24,975,Rome,ITA
Russian National Swimming Championships (50m),47.31,07/04/2021,Men 100 Freestyle LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09/07/2000,,,25,25,974,Kazan,RUS
18th FINA World Championships 2019,47.32,24/07/2019,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,26,26,974,Gwangju,KOR
Olympic Games Beijing 2008,47.32,14/08/2008,Men 100 Freestyle LCM Male,AUS,Australia,"SULLIVAN, Eamon",M,30/08/1985,,,26,27,1015,Beijing,CHN
13th FINA World Championships 2009,47.33,30/07/2009,Men 100 Freestyle LCM Male,USA,United States of America,"WALTERS, David",M,27/09/1987,,,28,28,,Rome,ITA
18th FINA World Championships 2019,47.35,24/07/2019,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,29,29,972,Gwangju,KOR
