meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Swedish Grand Prix 3,01:55.75,18/04/2015,Women 200 Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,178,178,929,Jonkoping,SWE
US National Championships (50m),01:55.75,06/08/2014,Women 200 Freestyle LCM Female,USA,United States of America,"LEDECKY, Katie",F,17/03/1997,,,178,179,929,Irvine,USA
Hancock Prospecting National Championships Australia (50m),01:55.76,28/02/2018,Women 200 Freestyle LCM Female,AUS,Australia,"TITMUS, Ariarne",F,07/09/2000,,,180,180,929,Gold Coast,AUS
Swedish Grand Prix 2,01:55.76,08/03/2014,Women 200 Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,180,181,929,Stockholm,SWE
Olympic Games London 2012,01:55.76,01/08/2012,Women 200 Freestyle LCM Female,AUS,Australia,"BARRATT, Bronte",F,08/02/1989,,,180,182,929,London,GBR
TYR Pro Swim Series Knoxville 2019,01:55.78,10/01/2019,Women 200 Freestyle LCM Female,USA,United States of America,"LEDECKY, Katie",F,17/03/1997,,,183,183,929,Knoxville,USA
15th FINA World Championships 2013,01:55.78,30/07/2013,Women 200 Freestyle LCM Female,ITA,Italy,"PELLEGRINI, Federica",F,05/08/1988,,,183,184,929,Barcelona,ESP
Olympic Games Beijing 2008,01:55.78,13/08/2008,Women 200 Freestyle LCM Female,USA,United States of America,"HOFF, Katie",F,03/06/1989,,,183,185,998,Beijing,CHN
Hancock Prospecting Australian Swimming Club Championships 2021,01:55.79,14/04/2021,Women 200 Freestyle LCM Female,AUS,Australia,"MCKEON, Emma",F,24/05/1994,,,186,186,928,Gold Coast,AUS
PV Senior Championships 2014 (50m),01:55.79,17/07/2014,Women 200 Freestyle LCM Female,USA,United States of America,"LEDECKY, Katie",F,17/03/1997,,,186,187,928,College Park,USA
TYR Pro Swim Series Bloomington 2019,01:55.80,18/05/2019,Women 200 Freestyle LCM Female,USA,United States of America,"LEDECKY, Katie",F,17/03/1997,,,188,188,928,Bloomington,USA
French National Championships (50m),01:55.80,25/05/2017,Women 200 Freestyle LCM Female,FRA,France,"BONNET, Charlotte",F,14/02/1995,,,188,189,928,Schiltigheim,FRA
Olympic Games Rio 2016,01:55.80,08/08/2016,Women 200 Freestyle LCM Female,AUS,Australia,"MCKEON, Emma",F,24/05/1994,,,188,190,928,Rio de Janeiro,BRA
Hong Kong National Olympic Time Trial,01:55.81,21/03/2021,Women 200 Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan Bernadette",F,31/10/1997,,,191,191,928,Hong Kong,HKG
FINA/airweave Swimming World Cup 2015,01:55.81,25/09/2015,Women 200 Freestyle LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,191,192,928,Hong Kong,HKG
Olympic Games London 2012,01:55.81,31/07/2012,Women 200 Freestyle LCM Female,AUS,Australia,"BARRATT, Bronte",F,08/02/1989,,,191,193,928,London,GBR
US National Championships (50m),01:55.82,26/07/2018,Women 200 Freestyle LCM Female,USA,United States of America,"SCHMITT, Allison",F,07/06/1990,,,194,194,928,Irvine,USA
Santa Clara PSS 2018,01:55.82,08/06/2018,Women 200 Freestyle LCM Female,USA,United States of America,"LEDECKY, Katie",F,17/03/1997,,,194,195,928,Santa Clara,USA
2016 CHN National Championships ,01:55.82,03/04/2016,Women 200 Freestyle LCM Female,CHN,People's Republic of China,"SHEN, Duo",F,09/06/1997,,,194,196,928,Foshan,CHN
16th FINA World Championships 2015,01:55.82,04/08/2015,Women 200 Freestyle LCM Female,USA,United States of America,"LEDECKY, Katie",F,17/03/1997,,,194,197,928,Kazan,RUS
20th Commonwealth Games 2014,01:55.82,24/07/2014,Women 200 Freestyle LCM Female,GBR,Great Britain,"O'CONNOR, Siobhan",F,29/11/1995,,,194,198,928,Glasgow,GBR
Olympic Games London 2012,01:55.82,31/07/2012,Women 200 Freestyle LCM Female,USA,United States of America,"FRANKLIN, Missy",F,10/05/1995,,,194,199,928,London,GBR
Minneapolis Grand Prix,01:55.82,11/11/2011,Women 200 Freestyle LCM Female,USA,United States of America,"SCHMITT, Allison",F,07/06/1990,,,194,200,928,Minneapolis,USA
