meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Olympic Games Rio 2016,01:45.20,08/08/2016,Men 200 Freestyle LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,89,89,911,Rio de Janeiro,BRA
16th FINA World Championships 2015,01:45.20,04/08/2015,Men 200 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,89,90,911,Kazan,RUS
14th FINA World Championships 2011,01:45.20,29/07/2011,Men 200 Freestyle LCM Male,GER,Germany,"BIEDERMANN, Paul",M,07/08/1986,,,89,91,911,Shanghai,CHN
11th FINA World Championships 2005,01:45.20,26/07/2005,Men 200 Freestyle LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,89,92,,Montreal,CAN
Hancock Prospecting Australian Swimming Trials 2021,01:45.22,13/06/2021,Men 200 Freestyle LCM Male,AUS,Australia,"GRAHAM, Alexander",M,28/04/1995,,,93,93,910,Adelaide,AUS
18th FINA World Championships 2019,01:45.22,23/07/2019,Men 200 Freestyle LCM Male,JPN,Japan,"MATSUMOTO, Katsuhiro",M,28/02/1997,,,93,94,910,Gwangju,KOR
17th FINA World Championships 2017,01:45.23,25/07/2017,Men 200 Freestyle LCM Male,RUS,Russian Federation,"KRASNYKH, Aleksandr",M,19/06/1995,,,95,95,910,Budapest,HUN
Olympic Games Rio 2016,01:45.23,09/08/2016,Men 200 Freestyle LCM Male,USA,United States of America,"DWYER, Conor",M,10/01/1989,,,95,96,910,Rio de Janeiro,BRA
Olympic Games Rio 2016,01:45.23,08/08/2016,Men 200 Freestyle LCM Male,USA,United States of America,"DWYER, Conor",M,10/01/1989,,,95,97,910,Rio de Janeiro,BRA
17th Asian Games 2014,01:45.23,21/09/2014,Men 200 Freestyle LCM Male,JPN,Japan,"HAGINO, Kosuke",M,15/08/1994,,,95,98,910,Incheon,KOR
13th FINA World Championships 2009,01:45.23,27/07/2009,Men 200 Freestyle LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,95,99,,Rome,ITA
Olympic Games Athens 2004,01:45.23,16/08/2004,Men 200 Freestyle LCM Male,NED,Netherlands,"VAN DEN HOOGENBAND, Pieter",M,14/03/1978,,,95,100,,Athens,GRE
Olympic Games Tokyo 2020,01:45.24,25/07/2021,Men 200 Freestyle LCM Male,GBR,Great Britain,"DEAN, Tom",M,02/05/2000,,,101,101,910,Tokyo,JPN
17th FINA World Championships 2017,01:45.24,24/07/2017,Men 200 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,101,102,910,Budapest,HUN
Mare Nostrum -  Meeting International de Canet-en-Roussillon 2012,01:45.24,06/06/2012,Men 200 Freestyle LCM Male,FRA,France,"AGNEL, Yannick",M,09/06/1992,,,101,103,910,Canet-en-Roussillon,FRA
13th FINA World Championships 2009,01:45.24,28/07/2009,Men 200 Freestyle LCM Male,JPN,Japan,"UCHIDA, Sho",M,28/09/1987,,,101,104,,Rome,ITA
Phillips 66 International Team Trials 2022,01:45.25,27/04/2022,Men 200 Freestyle LCM Male,USA,United States of America,"SMITH, Kieran",M,20/05/2000,,,105,105,910,Greensboro,USA
2014 MBC Cup Swimming Competition ,01:45.25,16/07/2014,Men 200 Freestyle LCM Male,KOR,Republic of Korea,"PARK, Taehwan",M,27/09/1989,,,105,106,910,Gimcheon,KOR
14th FINA World Championships 2011,01:45.25,29/07/2011,Men 200 Freestyle LCM Male,FRA,France,"AGNEL, Yannick",M,09/06/1992,,,105,107,910,Shanghai,CHN
Olympic Games Tokyo 2020,01:45.26,27/07/2021,Men 200 Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,21/05/2003,,,108,108,909,Tokyo,JPN
