meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
17th FINA World Championships 2017,25.95,25/07/2017,Men 50 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,1,1,1055,Budapest,HUN
17th FINA World Championships 2017,25.99,26/07/2017,Men 50 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,2,2,1050,Budapest,HUN
18th FINA World Championships 2019,26.06,24/07/2019,Men 50 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,3,3,987,Gwangju,KOR
European Championships 2018,26.09,08/08/2018,Men 50 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,4,4,983,Glasgow,GBR
17th FINA World Championships 2017,26.10,25/07/2017,Men 50 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,5,5,1037,Budapest,HUN
18th FINA World Championships 2019,26.11,23/07/2019,Men 50 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,6,6,981,Gwangju,KOR
European Championships 2021,26.21,22/05/2021,Men 50 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,7,7,970,Budapest,HUN
European Championships 2018,26.23,07/08/2018,Men 50 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,8,8,968,Glasgow,GBR
18th FINA World Championships 2019,26.28,23/07/2019,Men 50 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,9,9,962,Gwangju,KOR
Mare Nostrum - 37th Meeting International de Natation de Monte Carlo 2019,26.33,09/06/2019,Men 50 Breaststroke LCM Male,BRA,Brazil,"LIMA, Felipe",M,05/04/1985,,,10,10,957,Monaco,MON
European Championships 2021,26.34,21/05/2021,Men 50 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,11,11,956,Budapest,HUN
European Championships 2021,26.38,21/05/2021,Men 50 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,12,12,951,Budapest,HUN
Italian National Championships (50m),26.39,02/04/2021,Men 50 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,01/08/1999,,,13,13,950,Riccione,ITA
55th International Trophy “Settecolli”,26.41,30/06/2018,Men 50 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,14,14,948,Rome,ITA
Maria Lenk / Brazil Trophy,26.42,21/04/2019,Men 50 Breaststroke LCM Male,BRA,Brazil,"GOMES JUNIOR, Joao",M,21/01/1986,,,15,15,947,Rio de Janeiro,BRA
16th FINA World Championships 2015,26.42,04/08/2015,Men 50 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,15,16,1028,Kazan,RUS
19th FINA World Championships Budapest 2022,26.45,21/06/2022,Men 50 Breaststroke LCM Male,USA,United States of America,"FINK, Nic",M,03/07/1993,,,17,17,944,Budapest,HUN
Belarus National Championships (50m),26.46,23/04/2021,Men 50 Breaststroke LCM Male,BLR,Belarus,"SHYMANOVICH, Ilya",M,02/08/1994,,,18,18,943,Brest,BLR
European Championships 2021,26.47,21/05/2021,Men 50 Breaststroke LCM Male,BLR,Belarus,"SHYMANOVICH, Ilya",M,02/08/1994,,,19,19,942,Budapest,HUN
Italian National Championships (50m),26.47,02/04/2021,Men 50 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,01/08/1999,,,19,20,942,Riccione,ITA
19th FINA World Championships Budapest 2022,26.48,21/06/2022,Men 50 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,01/08/1999,,,21,21,941,Budapest,HUN
Maria Lenk / Brazil Trophy,26.48,21/04/2019,Men 50 Breaststroke LCM Male,BRA,Brazil,"LIMA, Felipe",M,05/04/1985,,,21,22,941,Rio de Janeiro,BRA
British National Championships (50m),26.48,19/04/2017,Men 50 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,21,23,993,Sheffield,GBR
Italian National Championships (50m),26.49,13/04/2022,Men 50 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,01/08/1999,,,24,24,940,Milano,ITA
European Championships 2021,26.49,21/05/2021,Men 50 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,01/08/1999,,,24,25,940,Budapest,HUN
British Swimming Championships (50m),26.49,17/04/2019,Men 50 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,24,26,940,Glasgow,GBR
21st Commonwealth Games 2018,26.49,08/04/2018,Men 50 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,24,27,940,Gold Coast,AUS
European Championships 2018,26.50,07/08/2018,Men 50 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,28,28,939,Glasgow,GBR
17th FINA World Championships 2017,26.50,24/07/2017,Men 50 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,28,29,990,Budapest,HUN
16th FINA World Championships 2015,26.51,05/08/2015,Men 50 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,30,30,1018,Kazan,RUS
Phillips 66 International Team Trials 2022,26.52,28/04/2022,Men 50 Breaststroke LCM Male,USA,United States of America,"ANDREW, Michael",M,18/04/1999,,,31,31,936,Greensboro,USA
17th FINA World Championships 2017,26.52,26/07/2017,Men 50 Breaststroke LCM Male,BRA,Brazil,"GOMES JUNIOR, Joao",M,21/01/1986,,,31,32,988,Budapest,HUN
56th International Trophy “Settecolli”,26.53,22/06/2019,Men 50 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,33,33,935,Rome,ITA
European Championships 2021,26.54,21/05/2021,Men 50 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,01/08/1999,,,34,34,934,Budapest,HUN
17th FINA World Championships 2017,26.54,25/07/2017,Men 50 Breaststroke LCM Male,RSA,South Africa,"VAN DER BURGH, Cameron",M,25/05/1988,,,34,35,986,Budapest,HUN
Phillips 66 International Team Trials 2022,26.55,28/04/2022,Men 50 Breaststroke LCM Male,USA,United States of America,"FINK, Nic",M,03/07/1993,,,36,36,933,Greensboro,USA
European Championships 2021,26.55,22/05/2021,Men 50 Breaststroke LCM Male,BLR,Belarus,"SHYMANOVICH, Ilya",M,02/08/1994,,,36,37,933,Budapest,HUN
Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2019,26.55,16/06/2019,Men 50 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,36,38,933,Barcelona,ESP
Belarus National Championships (50m),26.55,19/04/2019,Men 50 Breaststroke LCM Male,BLR,Belarus,"SHYMANOVICH, Ilya",M,02/08/1994,,,36,39,933,Brest,BLR
19th FINA World Championships Budapest 2022,26.56,20/06/2022,Men 50 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,01/08/1999,,,40,40,932,Budapest,HUN
Italian Open Swimming Championships,26.56,18/12/2020,Men 50 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,01/08/1999,,,40,41,932,Riccione,ITA
Belarus National Championships (50m),26.57,19/04/2019,Men 50 Breaststroke LCM Male,BLR,Belarus,"SHYMANOVICH, Ilya",M,02/08/1994,,,42,42,931,Brest,BLR
21st Commonwealth Games 2018,26.58,09/04/2018,Men 50 Breaststroke LCM Male,RSA,South Africa,"VAN DER BURGH, Cameron",M,25/05/1988,,,43,43,930,Gold Coast,AUS
58th International Trophy “Settecolli”,26.59,26/06/2021,Men 50 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,01/08/1999,,,44,44,929,Rome,ITA
18th FINA World Championships 2019,26.60,22/07/2019,Men 50 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,45,45,928,Gwangju,KOR
FINA Champions Swim Series 2019,26.60,01/06/2019,Men 50 Breaststroke LCM Male,BRA,Brazil,"GOMES JUNIOR, Joao",M,21/01/1986,,,45,46,928,Indianapolis,USA
Maria Lenk / Brazil Trophy,26.60,21/04/2019,Men 50 Breaststroke LCM Male,BRA,Brazil,"LIMA, Felipe",M,05/04/1985,,,45,47,928,Rio de Janeiro,BRA
17th FINA World Championships 2017,26.60,26/07/2017,Men 50 Breaststroke LCM Male,RSA,South Africa,"VAN DER BURGH, Cameron",M,25/05/1988,,,45,48,979,Budapest,HUN
17th FINA World Championships 2017,26.60,23/07/2017,Men 50 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,45,49,979,Budapest,HUN
56th International Trophy “Settecolli”,26.61,22/06/2019,Men 50 Breaststroke LCM Male,BRA,Brazil,"LIMA, Felipe",M,05/04/1985,,,50,50,927,Rome,ITA
British Swimming Championships (50m),26.61,17/04/2019,Men 50 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,50,51,927,Glasgow,GBR
54th International Trophy “Settecolli”,26.61,24/06/2017,Men 50 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,50,52,978,Rome,ITA
Olympic Games Rio 2016,26.61,07/08/2016,Men 50 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,50,53,978,Rio de Janeiro,BRA
Brazil Trophy 2022,26.62,06/04/2022,Men 50 Breaststroke LCM Male,BRA,Brazil,"GOMES JUNIOR, Joao",M,21/01/1986,,,54,54,926,Rio de Janeiro,BRA
18th FINA World Championships 2019,26.62,23/07/2019,Men 50 Breaststroke LCM Male,BRA,Brazil,"LIMA, Felipe",M,05/04/1985,,,54,55,926,Gwangju,KOR
21st Commonwealth Games 2018,26.62,09/04/2018,Men 50 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,54,56,926,Gold Coast,AUS
British National Championships (50m),26.62,19/04/2017,Men 50 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,54,57,977,Sheffield,GBR
