meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Olympic Games Tokyo 2020,02:22.16,28/07/2021,Women 200 Breaststroke LCM Female,ROC,ROC,"CHIKUNOVA, Evgeniia",F,17/11/2004,,,136,136,937,Tokyo,JPN
European Championships 2021,02:22.16,21/05/2021,Women 200 Breaststroke LCM Female,RUS,Russian Federation,"EFIMOVA, Yuliya",F,03/04/1992,,,136,137,937,Budapest,HUN
European Championships 2021,02:22.17,21/05/2021,Women 200 Breaststroke LCM Female,RUS,Russian Federation,"CHIKUNOVA, Evgeniia",F,17/11/2004,,,138,138,936,Budapest,HUN
Olympic Games Beijing 2008,02:22.17,13/08/2008,Women 200 Breaststroke LCM Female,USA,United States of America,"SONI, Rebecca",F,18/03/1987,,,138,139,1012,Beijing,CHN
15th FINA World Championships 2013,02:22.20,01/08/2013,Women 200 Breaststroke LCM Female,DEN,Denmark,"PEDERSEN, Rikke",F,09/01/1989,,,140,140,945,Barcelona,ESP
19th FINA World Championships Budapest 2022,02:22.22,22/06/2022,Women 200 Breaststroke LCM Female,AUS,Australia,"STRAUCH, Jenna",F,24/03/1997,,,141,141,932,Budapest,HUN
13th Pan Pacific Championships 2018,02:22.22,12/08/2018,Women 200 Breaststroke LCM Female,JPN,Japan,"SUZUKI, Satomi",F,29/01/1991,,,141,142,935,Tokyo,JPN
NC Charlotte UltraSwim 2012,02:22.22,10/05/2012,Women 200 Breaststroke LCM Female,USA,United States of America,"SONI, Rebecca",F,18/03/1987,,,141,143,956,Charlotte,USA
14th FINA World Championships 2011,02:22.22,29/07/2011,Women 200 Breaststroke LCM Female,RUS,Russian Federation,"EFIMOVA, Yuliya",F,03/04/1992,,,141,144,956,Shanghai,CHN
Central Zone Section 3 Spring Speedo Sectionals 2021,02:22.23,25/03/2021,Women 200 Breaststroke LCM Female,USA,United States of America,"LAZOR, Annie",F,17/08/1994,,,145,145,935,Indianapolis,USA
17th FINA World Championships 2017,02:22.23,28/07/2017,Women 200 Breaststroke LCM Female,CAN,Canada,"SMITH, Kierra",F,01/02/1994,,,145,146,935,Budapest,HUN
Olympic Games London 2012,02:22.23,01/08/2012,Women 200 Breaststroke LCM Female,DEN,Denmark,"PEDERSEN, Rikke",F,09/01/1989,,,145,147,956,London,GBR
US National Championships (50m),02:22.24,28/06/2017,Women 200 Breaststroke LCM Female,USA,United States of America,"GALAT, Bethany",F,10/08/1995,,,148,148,935,Indianapolis,USA
13th FINA World Championships 2009,02:22.24,30/07/2009,Women 200 Breaststroke LCM Female,SWE,Sweden,"HOSTMAN, Joline",F,24/09/1988,,,148,149,,Rome,ITA
South Africa Invitational Aquatic Championships 2021,02:22.26,09/04/2021,Women 200 Breaststroke LCM Female,RSA,South Africa,"SCHOENMAKER, Tatjana",F,09/07/1997,,,150,150,935,Port Elizabeth,RSA
Olympic Games Tokyo 2020,02:22.27,29/07/2021,Women 200 Breaststroke LCM Female,USA,United States of America,"KING, Lilly",F,10/02/1997,,,151,151,934,Tokyo,JPN
Olympic Games Rio 2016,02:22.28,11/08/2016,Women 200 Breaststroke LCM Female,CHN,People's Republic of China,"SHI, Jinglin",F,03/01/1993,,,152,152,934,Rio de Janeiro,BRA
Danish National Championships (50m),02:22.28,01/07/2013,Women 200 Breaststroke LCM Female,DEN,Denmark,"PEDERSEN, Rikke",F,09/01/1989,,,152,153,944,Bronshoj,DEN
13th FINA World Championships 2009,02:22.28,30/07/2009,Women 200 Breaststroke LCM Female,SRB,Serbia,"HIGL, Nadja",F,02/11/1987,,,152,154,,Rome,ITA
Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2017,02:22.29,13/06/2017,Women 200 Breaststroke LCM Female,AUS,Australia,"MCKEOWN, Taylor",F,17/03/1995,,,155,155,934,Barcelona,ESP
Swimcup Amsterdam,02:22.30,13/12/2019,Women 200 Breaststroke LCM Female,RSA,South Africa,"SCHOENMAKER, Tatjana",F,09/07/1997,,,156,156,934,Amsterdam,NED
European Championships 2014,02:22.32,21/08/2014,Women 200 Breaststroke LCM Female,DEN,Denmark,"PEDERSEN, Rikke",F,09/01/1989,,,157,157,933,Berlin,GER
25th Summer Universiade 2009,02:22.32,09/07/2009,Women 200 Breaststroke LCM Female,JPN,Japan,"KANETO, Rie",F,08/09/1988,,,157,158,,Belgrade,SRB
Olympic Games Rio 2016,02:22.33,10/08/2016,Women 200 Breaststroke LCM Female,GBR,Great Britain,"RENSHAW, Molly",F,06/05/1996,,,159,159,933,Rio de Janeiro,BRA
Olympic Games Rio 2016,02:22.34,11/08/2016,Women 200 Breaststroke LCM Female,GBR,Great Britain,"TUTTON, Chloe",F,17/07/1996,,,160,160,933,Rio de Janeiro,BRA
British Championships 2016,02:22.34,13/04/2016,Women 200 Breaststroke LCM Female,GBR,Great Britain,"TUTTON, Chloe",F,17/07/1996,,,160,161,933,Glasgow,GBR
Olympic Games Tokyo 2020,02:22.35,29/07/2021,Women 200 Breaststroke LCM Female,GBR,Great Britain,"WOOD, Abbie",F,02/03/1999,,,162,162,933,Tokyo,JPN
FINA Swimming World Cup 2019,02:22.35,02/08/2019,Women 200 Breaststroke LCM Female,RSA,South Africa,"SCHOENMAKER, Tatjana",F,09/07/1997,,,162,163,933,Tokyo,JPN
20th Commonwealth Games 2014,02:22.36,26/07/2014,Women 200 Breaststroke LCM Female,AUS,Australia,"MCKEOWN, Taylor",F,17/03/1995,,,164,164,933,Glasgow,GBR
Olympic Games Rio 2016,02:22.37,10/08/2016,Women 200 Breaststroke LCM Female,CHN,People's Republic of China,"SHI, Jinglin",F,03/01/1993,,,165,165,932,Rio de Janeiro,BRA
15th FINA World Championships 2013,02:22.37,02/08/2013,Women 200 Breaststroke LCM Female,USA,United States of America,"SUMRALL, Micah",F,20/07/1990,,,165,166,942,Barcelona,ESP
TYR Pro Swim Series Mission Viejo 2021,02:22.38,09/04/2021,Women 200 Breaststroke LCM Female,USA,United States of America,"KING, Lilly",F,10/02/1997,,,167,167,932,Mission Viejo,USA
Olympic Games London 2012,02:22.40,01/08/2012,Women 200 Breaststroke LCM Female,JPN,Japan,"SUZUKI, Satomi",F,29/01/1991,,,168,168,952,London,GBR
19th FINA World Championships Budapest 2022,02:22.41,23/06/2022,Women 200 Breaststroke LCM Female,USA,United States of America,"KING, Lilly",F,10/02/1997,,,169,169,928,Budapest,HUN
13th Pan Pacific Championships 2018,02:22.41,12/08/2018,Women 200 Breaststroke LCM Female,USA,United States of America,"KING, Lilly",F,10/02/1997,,,169,170,932,Tokyo,JPN
Olympic Games Rio 2016,02:22.43,11/08/2016,Women 200 Breaststroke LCM Female,AUS,Australia,"MCKEOWN, Taylor",F,17/03/1995,,,171,171,931,Rio de Janeiro,BRA
16th FINA World Championships 2015,02:22.44,07/08/2015,Women 200 Breaststroke LCM Female,USA,United States of America,"SUMRALL, Micah",F,20/07/1990,,,172,172,931,Kazan,RUS
USA Olympic Trials 2004,02:22.44,12/07/2004,Women 200 Breaststroke LCM Female,USA,United States of America,"BEARD, Amanda",F,29/10/1981,,,172,173,,Long Beach,USA
Olympic Games Rio 2016,02:22.45,10/08/2016,Women 200 Breaststroke LCM Female,DEN,Denmark,"PEDERSEN, Rikke",F,09/01/1989,,,174,174,931,Rio de Janeiro,BRA
Japan Open 2015,02:22.46,24/05/2015,Women 200 Breaststroke LCM Female,JPN,Japan,"KANETO, Rie",F,08/09/1988,,,175,175,931,Tokyo,JPN
2014 NSW State Open Championships,02:22.46,28/02/2014,Women 200 Breaststroke LCM Female,JPN,Japan,"WATANABE, Kanako",F,15/11/1996,,,175,176,931,Sydney,AUS
Olympic Games Tokyo 2020,02:22.48,28/07/2021,Women 200 Breaststroke LCM Female,RSA,South Africa,"CORBETT, Kaylene",F,15/06/1999,,,177,177,930,Tokyo,JPN
18th FINA World Championships 2019,02:22.52,26/07/2019,Women 200 Breaststroke LCM Female,RSA,South Africa,"SCHOENMAKER, Tatjana",F,09/07/1997,,,178,178,929,Gwangju,KOR
FINA Champions Swim Series 2019,02:22.52,11/05/2019,Women 200 Breaststroke LCM Female,RUS,Russian Federation,"EFIMOVA, Yuliya",F,03/04/1992,,,178,179,929,Budapest,HUN
Olympic Games Rio 2016,02:22.52,10/08/2016,Women 200 Breaststroke LCM Female,RUS,Russian Federation,"EFIMOVA, Yuliya",F,03/04/1992,,,178,180,929,Rio de Janeiro,BRA
FINA Champions Swim Series 2019,02:22.53,28/04/2019,Women 200 Breaststroke LCM Female,CHN,People's Republic of China,"YE, Shiwen",F,01/03/1996,,,181,181,929,Guangzhou,CHN
Mare Nostrum - 33th Meeting International de Natation de Monte Carlo 2015,02:22.53,13/06/2015,Women 200 Breaststroke LCM Female,DEN,Denmark,"PEDERSEN, Rikke",F,09/01/1989,,,181,182,929,Monaco,MON
Mare Nostrum -  Meeting International de Canet-en-Roussillon 2015,02:22.54,07/06/2015,Women 200 Breaststroke LCM Female,DEN,Denmark,"PEDERSEN, Rikke",F,09/01/1989,,,183,183,929,Canet-en-Roussillon,FRA
Mare Nostrum -  35th Meeting International de Natation de Monte Carlo 2017,02:22.55,11/06/2017,Women 200 Breaststroke LCM Female,RUS,Russian Federation,"EFIMOVA, Yuliya",F,03/04/1992,,,184,184,929,Monaco,MON
European Championships 2016,02:22.56,20/05/2016,Women 200 Breaststroke LCM Female,ESP,Spain,"VALL MONTERO, Jessica",F,22/11/1988,,,185,185,929,London,GBR
19th FINA World Championships Budapest 2022,02:22.58,22/06/2022,Women 200 Breaststroke LCM Female,USA,United States of America,"KING, Lilly",F,10/02/1997,,,186,186,925,Budapest,HUN
TYR Pro Swim Series Westmont 2022,02:22.59,05/03/2022,Women 200 Breaststroke LCM Female,USA,United States of America,"LAZOR, Annie",F,17/08/1994,,,187,187,925,Westmont,USA
The National Games,02:22.61,24/09/2021,Women 200 Breaststroke LCM Female,CHN,People's Republic of China,"YU, Jingyao",F,13/02/1999,,,188,188,928,Xian,CHN
13th Pan Pacific Championships 2018,02:22.62,12/08/2018,Women 200 Breaststroke LCM Female,USA,United States of America,"SUMRALL, Micah",F,20/07/1990,,,189,189,927,Tokyo,JPN
Swimming Australia Grand Prix 2016,02:22.62,02/07/2016,Women 200 Breaststroke LCM Female,AUS,Australia,"MCKEOWN, Taylor",F,17/03/1995,,,189,190,927,Brisbane,AUS
USA Winter National Championships (50m),02:22.63,07/12/2019,Women 200 Breaststroke LCM Female,USA,United States of America,"KING, Lilly",F,10/02/1997,,,191,191,927,Atlanta,USA
Canadian Swimming Trials 2019,02:22.63,03/04/2019,Women 200 Breaststroke LCM Female,CAN,Canada,"PICKREM, Sydney",F,21/05/1997,,,191,192,927,Toronto,CAN
US Olympic Team Trials - Wave II,02:22.64,18/06/2021,Women 200 Breaststroke LCM Female,USA,United States of America,"ESCOBEDO, Emily",F,17/12/1995,,,193,193,927,Omaha,USA
Olympic Games Beijing 2008,02:22.64,14/08/2008,Women 200 Breaststroke LCM Female,USA,United States of America,"SONI, Rebecca",F,18/03/1987,,,193,194,1002,Beijing,CHN
Olympic Games Tokyo 2020,02:22.65,30/07/2021,Women 200 Breaststroke LCM Female,GBR,Great Britain,"RENSHAW, Molly",F,06/05/1996,,,195,195,927,Tokyo,JPN
2017 National Games ,02:22.66,01/09/2017,Women 200 Breaststroke LCM Female,CHN,People's Republic of China,"SHI, Jinglin",F,03/01/1993,,,196,196,927,Tianjin,CHN
Russian National Championships (50m),02:22.67,10/04/2019,Women 200 Breaststroke LCM Female,RUS,Russian Federation,"CHIKUNOVA, Evgeniia",F,17/11/2004,,,197,197,926,Moscow,RUS
9th French Swimming Open,02:22.69,05/07/2015,Women 200 Breaststroke LCM Female,TUR,Turkey,"GUNES, Viktoria",F,19/06/1998,,,198,198,926,Vichy,FRA
Olympic Games London 2012,02:22.69,01/08/2012,Women 200 Breaststroke LCM Female,DEN,Denmark,"PEDERSEN, Rikke",F,09/01/1989,,,198,199,946,London,GBR
Olympic Games Tokyo 2020,02:22.70,29/07/2021,Women 200 Breaststroke LCM Female,GBR,Great Britain,"RENSHAW, Molly",F,06/05/1996,,,200,200,926,Tokyo,JPN
