meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Australian National Championships (50m),02:05.95,19/05/2022,Men 200 Breaststroke LCM Male,AUS,Australia,"STUBBLETY-COOK, Zac",M,04/01/1999,,,1,1,1004,Adelaide,AUS
18th FINA World Championships 2019,02:06.12,26/07/2019,Men 200 Breaststroke LCM Male,RUS,Russian Federation,"CHUPKOV, Anton",M,22/02/1997,,,2,2,1013,Gwangju,KOR
Hancock Prospecting Australian Swimming Trials 2021,02:06.28,15/06/2021,Men 200 Breaststroke LCM Male,AUS,Australia,"STUBBLETY-COOK, Zac",M,04/01/1999,,,3,3,996,Adelaide,AUS
Olympic Games Tokyo 2020,02:06.38,29/07/2021,Men 200 Breaststroke LCM Male,AUS,Australia,"STUBBLETY-COOK, Zac",M,04/01/1999,,,4,4,993,Tokyo,JPN
Japan National Championships (50m),02:06.40,07/04/2021,Men 200 Breaststroke LCM Male,JPN,Japan,"SATO, Shoma",M,08/02/2001,,,5,5,993,Tokyo,JPN
18th FINA World Championships 2019,02:06.67,25/07/2019,Men 200 Breaststroke LCM Male,AUS,Australia,"WILSON, Matthew",M,08/12/1998,,,6,6,1000,Gwangju,KOR
10th Tokyo Swimming Championships,02:06.67,28/01/2017,Men 200 Breaststroke LCM Male,JPN,Japan,"WATANABE, Ippei",M,18/03/1997,,,6,7,1008,Tokyo,JPN
18th FINA World Championships 2019,02:06.68,26/07/2019,Men 200 Breaststroke LCM Male,AUS,Australia,"WILSON, Matthew",M,08/12/1998,,,8,8,999,Gwangju,KOR
19th FINA World Championships Budapest 2022,02:06.72,22/06/2022,Men 200 Breaststroke LCM Male,AUS,Australia,"STUBBLETY-COOK, Zac",M,04/01/1999,,,9,9,985,Budapest,HUN
18th FINA World Championships 2019,02:06.73,26/07/2019,Men 200 Breaststroke LCM Male,JPN,Japan,"WATANABE, Ippei",M,18/03/1997,,,10,10,998,Gwangju,KOR
Japan National Championships 2020 (50m),02:06.74,07/02/2021,Men 200 Breaststroke LCM Male,JPN,Japan,"SATO, Shoma",M,08/02/2001,,,11,11,985,Tokyo,JPN
Kosuke Kitajima Cup 2021,02:06.78,24/01/2021,Men 200 Breaststroke LCM Male,JPN,Japan,"SATO, Shoma",M,08/02/2001,,,12,12,984,Tokyo,JPN
European Championships 2018,02:06.80,06/08/2018,Men 200 Breaststroke LCM Male,RUS,Russian Federation,"CHUPKOV, Anton",M,22/02/1997,,,13,13,996,Glasgow,GBR
18th FINA World Championships 2019,02:06.83,25/07/2019,Men 200 Breaststroke LCM Male,RUS,Russian Federation,"CHUPKOV, Anton",M,22/02/1997,,,14,14,996,Gwangju,KOR
Rotterdam Qualification Meet,02:06.85,04/12/2020,Men 200 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,22/10/1995,,,15,15,982,Rotterdam,NED
17th FINA World Championships 2017,02:06.96,28/07/2017,Men 200 Breaststroke LCM Male,RUS,Russian Federation,"CHUPKOV, Anton",M,22/02/1997,,,16,16,1001,Budapest,HUN
European Championships 2021,02:06.99,20/05/2021,Men 200 Breaststroke LCM Male,RUS,Russian Federation,"CHUPKOV, Anton",M,22/02/1997,,,17,17,979,Budapest,HUN
Sydney Open 2021,02:07.00,15/05/2021,Men 200 Breaststroke LCM Male,AUS,Australia,"STUBBLETY-COOK, Zac",M,04/01/1999,,,18,18,979,Sydney,AUS
Russian National Championships (50m),02:07.00,09/04/2019,Men 200 Breaststroke LCM Male,RUS,Russian Federation,"CHUPKOV, Anton",M,22/02/1997,,,18,19,992,Moscow,RUS
Olympic Games Tokyo 2020,02:07.01,29/07/2021,Men 200 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,22/10/1995,,,20,20,979,Tokyo,JPN
67th Japan National Sports Festival - Swimming Com,02:07.01,15/09/2012,Men 200 Breaststroke LCM Male,JPN,Japan,"YAMAGUCHI, Akihiro",M,11/09/1994,,,20,21,1007,Gifu,JPN
Japan Inter-College Swimming Competition,02:07.02,04/10/2020,Men 200 Breaststroke LCM Male,JPN,Japan,"SATO, Shoma",M,08/02/2001,,,22,22,978,Tokyo,JPN
Japan National Championships (50m),02:07.02,07/04/2019,Men 200 Breaststroke LCM Male,JPN,Japan,"WATANABE, Ippei",M,18/03/1997,,,22,23,991,Tokyo,JPN
19th FINA World Championships Budapest 2022,02:07.07,23/06/2022,Men 200 Breaststroke LCM Male,AUS,Australia,"STUBBLETY-COOK, Zac",M,04/01/1999,,,24,24,977,Budapest,HUN
Japan National Championships (50m),02:07.08,06/12/2020,Men 200 Breaststroke LCM Male,JPN,Japan,"WATANABE, Ippei",M,18/03/1997,,,25,25,977,Tokoy,JPN
Olympic Games Tokyo 2020,02:07.13,29/07/2021,Men 200 Breaststroke LCM Male,FIN,Finland,"MATTSSON, Matti",M,05/10/1993,,,26,26,976,Tokyo,JPN
17th FINA World Championships 2017,02:07.14,27/07/2017,Men 200 Breaststroke LCM Male,RUS,Russian Federation,"CHUPKOV, Anton",M,22/02/1997,,,27,27,996,Budapest,HUN
Hancock Prospecting Australian National Championships (50m),02:07.16,08/04/2019,Men 200 Breaststroke LCM Male,AUS,Australia,"WILSON, Matthew",M,08/12/1998,,,28,28,988,Adelaide,AUS
Rotterdam Qualification Meet,02:07.17,04/12/2020,Men 200 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,22/10/1995,,,29,29,975,Rotterdam,NED
US Olympic Team Trials - Swimming,02:07.17,30/06/2016,Men 200 Breaststroke LCM Male,USA,United States of America,"PRENOT, Josh",M,28/07/1993,,,29,30,996,Omaha,USA
Antwerp Diamond Speedo Race,02:07.18,08/03/2020,Men 200 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,22/10/1995,,,31,31,975,Antwerp,BEL
