meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
16th FINA World Championships 2015,02:06.12,03/08/2015,Women 200 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,1,1,1000,Kazan,RUS
13th FINA World Championships 2009,02:06.15,27/07/2009,Women 200 Medley LCM Female,USA,United States of America,"KUKORS, Ariana",F,01/06/1989,,,2,2,,Rome,ITA
Olympic Games Rio 2016,02:06.58,09/08/2016,Women 200 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,3,3,989,Rio de Janeiro,BRA
16th FINA World Championships 2015,02:06.84,02/08/2015,Women 200 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,4,4,983,Kazan,RUS
Olympic Games Rio 2016,02:06.88,09/08/2016,Women 200 Medley LCM Female,GBR,Great Britain,"O'CONNOR, Siobhan",F,29/11/1995,,,5,5,982,Rio de Janeiro,BRA
17th FINA World Championships 2017,02:07.00,24/07/2017,Women 200 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,6,6,979,Budapest,HUN
18th FINA World Championships 2019,02:07.02,21/07/2019,Women 200 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,7,7,978,Gwangju,KOR
13th FINA World Championships 2009,02:07.03,27/07/2009,Women 200 Medley LCM Female,AUS,Australia,"RICE, Stephanie",F,17/06/1988,,,8,8,,Rome,ITA
13th FINA World Championships 2009,02:07.03,26/07/2009,Women 200 Medley LCM Female,USA,United States of America,"KUKORS, Ariana",F,01/06/1989,,,8,9,,Rome,ITA
19th FINA World Championships Budapest 2022,02:07.13,19/06/2022,Women 200 Medley LCM Female,USA,United States of America,"WALSH, Alex",F,31/07/2001,,,10,10,976,Budapest,HUN
17th FINA World Championships 2017,02:07.14,23/07/2017,Women 200 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,11,11,976,Budapest,HUN
18th FINA World Championships 2019,02:07.17,21/07/2019,Women 200 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,12,12,975,Gwangju,KOR
