meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Olympic Games Beijing 2008,04:34.55,09/08/2008,Women 400 Medley LCM Female,USA,United States of America,"BEISEL, Elizabeth",F,18/08/1992,,,143,144,983,Beijing,CHN
18th Asian Games 2018,04:34.58,21/08/2018,Women 400 Medley LCM Female,JPN,Japan,"OHASHI, Yui",F,18/10/1995,,,145,145,912,Jakarta,INA
13th FINA World Championships 2009,04:34.62,02/08/2009,Women 400 Medley LCM Female,AUS,Australia,"RICE, Stephanie",F,17/06/1988,,,146,146,,Rome,ITA
Olympic Games Beijing 2008,04:34.63,09/08/2008,Women 400 Medley LCM Female,USA,United States of America,"HOFF, Katie",F,03/06/1989,,,147,147,982,Beijing,CHN
15th FINA World Championships 2013,04:34.64,04/08/2013,Women 400 Medley LCM Female,ESP,Spain,"BELMONTE, Mireia",F,10/11/1990,,,148,148,933,Barcelona,ESP
55th International Trophy “Settecolli”,04:34.65,30/06/2018,Women 400 Medley LCM Female,ITA,Italy,"CUSINATO, Ilaria",F,05/10/1999,,,149,149,912,Rome,ITA
55th International Trophy “Settecolli”,04:34.65,29/06/2018,Women 400 Medley LCM Female,ITA,Italy,"CUSINATO, Ilaria",F,05/10/1999,,,149,150,912,Rome,ITA
Olympic Games Rio 2016,04:34.66,06/08/2016,Women 400 Medley LCM Female,JPN,Japan,"SHIMIZU, Sakiko",F,20/04/1992,,,151,151,933,Rio de Janeiro,BRA
Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2012,04:34.68,02/06/2012,Women 400 Medley LCM Female,GBR,Great Britain,"MILEY, Hannah",F,08/08/1989,,,152,152,943,Barcelona,ESP
European Championships 2014,04:34.69,18/08/2014,Women 400 Medley LCM Female,GBR,Great Britain,"WILLMOTT, Aimee",F,26/02/1993,,,153,153,933,Berlin,GER
11th Pan Pacific Championships 2010,04:34.69,19/08/2010,Women 400 Medley LCM Female,USA,United States of America,"BEISEL, Elizabeth",F,18/08/1992,,,153,154,943,Irvine,USA
Olympic Games Rio 2016,04:34.70,06/08/2016,Women 400 Medley LCM Female,CAN,Canada,"OVERHOLT, Emily",F,04/10/1997,,,155,155,933,Rio de Janeiro,BRA
Olympic Games London 2012,04:34.70,28/07/2012,Women 400 Medley LCM Female,ESP,Spain,"BELMONTE, Mireia",F,10/11/1990,,,155,156,943,London,GBR
European Championships 2021,04:34.76,17/05/2021,Women 400 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,157,157,911,Budapest,HUN
Open Dutch Championships,04:34.76,02/12/2011,Women 400 Medley LCM Female,GBR,Great Britain,"MILEY, Hannah",F,08/08/1989,,,157,158,943,Eindhoven,NED
US National Championships (50m),04:34.78,02/08/2011,Women 400 Medley LCM Female,USA,United States of America,"BEISEL, Elizabeth",F,18/08/1992,,,159,159,942,Palo Alto,USA
Meeting International FFN - Golden Tour,04:34.79,22/03/2019,Women 400 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,160,160,910,Marseille,FRA
16th FINA World Championships 2015,04:34.79,09/08/2015,Women 400 Medley LCM Female,GBR,Great Britain,"MILEY, Hannah",F,08/08/1989,,,160,161,932,Kazan,RUS
US National Championships (50m),04:34.80,27/07/2018,Women 400 Medley LCM Female,USA,United States of America,"MCHUGH, Ally",F,14/05/1997,,,162,162,910,Irvine,USA
13th FINA World Championships 2009,04:34.80,02/08/2009,Women 400 Medley LCM Female,USA,United States of America,"BEISEL, Elizabeth",F,18/08/1992,,,162,163,,Rome,ITA
Flanders Swimming Cup 2016,04:34.82,23/01/2016,Women 400 Medley LCM Female,GBR,Great Britain,"WILLMOTT, Aimee",F,26/02/1993,,,164,164,931,Antwerp,BEL
Olympic Games Athens 2004,04:34.83,14/08/2004,Women 400 Medley LCM Female,UKR,Ukraine,"KLOCHKOVA, Yana",F,07/08/1982,,,165,165,,Athens,GRE
Canadian Swimming Trials 2022,04:34.86,09/04/2022,Women 400 Medley LCM Female,CAN,Canada,"MCINTOSH, Summer",F,18/08/2006,,,166,166,910,Victoria,CAN
Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2014,04:34.87,14/06/2014,Women 400 Medley LCM Female,GBR,Great Britain,"WILLMOTT, Aimee",F,26/02/1993,,,167,167,931,Barcelona,ESP
Chinese National Championships (50m),04:34.89,04/09/2013,Women 400 Medley LCM Female,CHN,People's Republic of China,"LI, Xuanxu",F,05/02/1994,,,168,168,931,Shenyang ,CHN
Olympic Games Tokyo 2020,04:34.90,25/07/2021,Women 400 Medley LCM Female,USA,United States of America,"FLICKINGER, Hali",F,07/07/1994,,,169,169,909,Tokyo,JPN
21st Commonwealth Games 2018,04:34.90,05/04/2018,Women 400 Medley LCM Female,GBR,Great Britain,"WILLMOTT, Aimee",F,26/02/1993,,,169,170,909,Gold Coast,AUS
9th French Swimming Open,04:34.90,05/07/2015,Women 400 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,169,171,931,Vichy,FRA
13th FINA World Championships 2009,04:34.90,02/08/2009,Women 400 Medley LCM Female,USA,United States of America,"BEISEL, Elizabeth",F,18/08/1992,,,169,172,,Rome,ITA
Maria Lenk Trophy,04:34.91,21/04/2014,Women 400 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,173,173,930,Sao Paulo,BRA
Spanish Open Swimming Championships,04:34.91,31/03/2011,Women 400 Medley LCM Female,ESP,Spain,"BELMONTE, Mireia",F,10/11/1990,,,173,174,941,Madrid,ESP
Chinese National Championships (50m),04:34.92,01/04/2012,Women 400 Medley LCM Female,CHN,People's Republic of China,"LI, Xuanxu",F,05/02/1994,,,175,175,941,Shaoxing,CHN
15th FINA World Championships 2013,04:34.93,04/08/2013,Women 400 Medley LCM Female,HUN,Hungary,"JAKABOS, Zsuzsanna",F,03/04/1989,,,176,176,930,Barcelona,ESP
15th FINA World Championships 2013,04:34.93,04/08/2013,Women 400 Medley LCM Female,CHN,People's Republic of China,"YE, Shiwen",F,01/03/1996,,,176,177,930,Barcelona,ESP
Kosuke Kitajima Cup 2020,04:34.94,25/01/2020,Women 400 Medley LCM Female,JPN,Japan,"OHASHI, Yui",F,18/10/1995,,,178,178,909,Tokyo,JPN
15th FINA World Championships 2013,04:34.94,04/08/2013,Women 400 Medley LCM Female,GBR,Great Britain,"MILEY, Hannah",F,08/08/1989,,,178,179,930,Barcelona,ESP
14th FINA World Championships 2011,04:34.94,31/07/2011,Women 400 Medley LCM Female,ESP,Spain,"BELMONTE, Mireia",F,10/11/1990,,,178,180,941,Shanghai,CHN
Amsterdam Swim Cup 2013,04:34.95,07/12/2013,Women 400 Medley LCM Female,GBR,Great Britain,"WILLMOTT, Aimee",F,26/02/1993,,,181,181,930,Amsterdam,NED
14th FINA World Championships 2011,04:34.95,31/07/2011,Women 400 Medley LCM Female,USA,United States of America,"BEISEL, Elizabeth",F,18/08/1992,,,181,182,941,Shanghai,CHN
Olympic Games Athens 2004,04:34.95,14/08/2004,Women 400 Medley LCM Female,USA,United States of America,"SANDENO, Kaitlin",F,13/03/1983,,,181,183,,Athens,GRE
Olympic Games Rio 2016,04:34.98,06/08/2016,Women 400 Medley LCM Female,USA,United States of America,"BEISEL, Elizabeth",F,18/08/1992,,,184,184,930,Rio de Janeiro,BRA
