meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
ISL 2020 Season - Final,49.28,22/11/2020,Men 100 Medley SCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,1,1,1060,Budapest,HUN
ISL 2020 Season - Semifinal 2,49.88,16/11/2020,Men 100 Medley SCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,2,2,1023,Budapest,HUN
FINA Swimming World Cup 2018,50.26,09/11/2018,Men 100 Medley SCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,3,3,1002,Tokyo,JPN
FINA Swimming World Cup 2018,50.26,28/09/2018,Men 100 Medley SCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,3,4,1002,Eindhoven,NED
FINA/airweave Swimming World Cup 2016,50.30,30/08/2016,Men 100 Medley SCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,5,5,1021,Berlin,GER
FINA Swimming World Cup 2018,50.31,15/11/2018,Men 100 Medley SCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,6,6,999,Singapore,SGP
FINA Swimming World Cup 2018,50.32,04/10/2018,Men 100 Medley SCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,7,7,998,Budapest,HUN
FINA/airweave Swimming World Cup 2016,50.33,29/10/2016,Men 100 Medley SCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,8,8,1019,Hong Kong,HKG
FINA/airweave Swimming World Cup 2017,50.36,11/11/2017,Men 100 Medley SCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,9,9,996,Beijing,CHN
ISL 2020 Season - Match 10,50.48,10/11/2020,Men 100 Medley SCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,10,10,986,Budapest,HUN
FINA/airweave Swimming World Cup 2017,50.49,18/11/2017,Men 100 Medley SCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,11,11,988,Singapore,SGP
FINA/airweave Swimming World Cup 2016,50.55,25/10/2016,Men 100 Medley SCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,12,12,1006,Tokyo,JPN
FINA/airweave Swimming World Cup 2016,50.60,26/08/2016,Men 100 Medley SCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,13,13,1003,Paris-Chartres,FRA
14th FINA World Swimming Championships (25m) 2018,50.63,14/12/2018,Men 100 Medley SCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09/07/2000,,,14,14,980,Hangzhou,CHN
12th FINA World Swimming Championships (25m) 2014,50.66,07/12/2014,Men 100 Medley SCM Male,GER,Germany,"DEIBLER, Markus",M,28/01/1990,,,15,15,1002,Doha,QAT
ISL Match 4 - 2021,50.68,05/09/2021,Men 100 Medley SCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,16,16,919,Napoli,ITA
FINA/airweave Swimming World Cup 2017,50.70,11/08/2017,Men 100 Medley SCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,17,17,997,Eindhoven,NED
FINA/airweave Swimming World Cup 2016,50.70,21/10/2016,Men 100 Medley SCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,17,18,997,Singapore,SGP
11th FINA World Swimming Championships (25m) 2012,50.71,15/12/2012,Men 100 Medley SCM Male,USA,United States of America,"LOCHTE, Ryan",M,03/08/1984,,,19,19,1002,Istanbul,TUR
ISL Final - Match 18,50.74,04/12/2021,Men 100 Medley SCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,20,20,916,Eindhoven,NED
