meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Olympic Games Beijing 2008,04:03.84,10/08/2008,Men 400 Medley LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,1,1,1068,Beijing,CHN
19th FINA World Championships Budapest 2022,04:04.28,18/06/2022,Men 400 Medley LCM Male,FRA,France,"MARCHAND, Leon",M,17/05/2002,,,2,2,994,Budapest,HUN
Olympic Games London 2012,04:05.18,28/07/2012,Men 400 Medley LCM Male,USA,United States of America,"LOCHTE, Ryan",M,03/08/1984,,,3,3,983,London,GBR
USA Olympic Team Trials,04:05.25,29/06/2008,Men 400 Medley LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,4,4,1050,Omaha,USA
17th FINA World Championships 2017,04:05.90,30/07/2017,Men 400 Medley LCM Male,USA,United States of America,"KALISZ, Chase",M,07/03/1994,,,5,5,975,Budapest,HUN
Olympic Games Rio 2016,04:06.05,06/08/2016,Men 400 Medley LCM Male,JPN,Japan,"HAGINO, Kosuke",M,15/08/1994,,,6,6,973,Rio de Janeiro,BRA
Kosuke Kitajima Cup 2020,04:06.09,25/01/2020,Men 400 Medley LCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,7,7,972,Tokyo,JPN
Olympic Games Beijing 2008,04:06.16,10/08/2008,Men 400 Medley LCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,8,8,1038,Beijing,CHN
12th FINA World Championships 2007,04:06.22,01/04/2007,Men 400 Medley LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,9,9,,Melbourne,AUS
19th FINA World Championships Budapest 2022,04:06.56,18/06/2022,Men 400 Medley LCM Male,USA,United States of America,"FOSTER, Carson",M,26/10/2001,,,10,10,967,Budapest,HUN
Olympic Games Rio 2016,04:06.75,06/08/2016,Men 400 Medley LCM Male,USA,United States of America,"KALISZ, Chase",M,07/03/1994,,,11,11,965,Rio de Janeiro,BRA
US National Championships (50m),04:06.99,29/06/2017,Men 400 Medley LCM Male,USA,United States of America,"KALISZ, Chase",M,07/03/1994,,,12,12,962,Indianapolis,USA
13th FINA World Championships 2009,04:07.01,02/08/2009,Men 400 Medley LCM Male,USA,United States of America,"LOCHTE, Ryan",M,03/08/1984,,,13,13,,Rome,ITA
US Olympic Team Trials,04:07.06,25/06/2012,Men 400 Medley LCM Male,USA,United States of America,"LOCHTE, Ryan",M,03/08/1984,,,14,14,961,Omaha,USA
14th FINA World Championships 2011,04:07.13,31/07/2011,Men 400 Medley LCM Male,USA,United States of America,"LOCHTE, Ryan",M,03/08/1984,,,15,15,960,Shanghai,CHN
13th FINA World Championships 2009,04:07.31,02/08/2009,Men 400 Medley LCM Male,USA,United States of America,"CLARY, Tyler",M,12/03/1989,,,16,16,,Rome,ITA
13th FINA World Championships 2009,04:07.37,02/08/2009,Men 400 Medley LCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,17,17,,Rome,ITA
19th FINA World Championships Budapest 2022,04:07.47,18/06/2022,Men 400 Medley LCM Male,USA,United States of America,"KALISZ, Chase",M,07/03/1994,,,18,18,956,Budapest,HUN
54th International Trophy “Settecolli”,04:07.47,24/06/2017,Men 400 Medley LCM Male,HUN,Hungary,"VERRASZTO, David",M,22/08/1988,,,18,19,956,Rome,ITA
11th Pan Pacific Championships 2010,04:07.59,19/08/2010,Men 400 Medley LCM Male,USA,United States of America,"LOCHTE, Ryan",M,03/08/1984,,,20,20,955,Irvine,USA
