meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
19th FINA World Championships Budapest 2022,01:50.34,21/06/2022,Men 200 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,1,1,1010,Budapest,HUN
18th FINA World Championships 2019,01:50.73,24/07/2019,Men 200 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,2,2,1021,Gwangju,KOR
European Championships 2021,01:51.10,19/05/2021,Men 200 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,3,3,990,Budapest,HUN
Olympic Games Tokyo 2020,01:51.25,28/07/2021,Men 200 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,4,4,986,Tokyo,JPN
Hungarian National Championships (50m),01:51.40,24/03/2021,Men 200 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,5,5,982,Budapest,HUN
13th FINA World Championships 2009,01:51.51,29/07/2009,Men 200 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,6,6,,Rome,ITA
Olympic Games Beijing 2008,01:52.03,13/08/2008,Men 200 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,7,7,1047,Beijing,CHN
12th FINA World Championships 2007,01:52.09,28/03/2007,Men 200 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,8,8,,Melbourne,AUS
Olympic Games Tokyo 2020,01:52.22,27/07/2021,Men 200 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,9,9,960,Tokyo,JPN
19th FINA World Championships Budapest 2022,01:52.39,20/06/2022,Men 200 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,10,10,956,Budapest,HUN
Hungarian National Championships (50m),01:52.50,23/03/2021,Men 200 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,11,11,953,Budapest,HUN
FINA Champions Swim Series 2020,01:52.53,18/01/2020,Men 200 Butterfly LCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,12,12,952,Beijing,CHN
Olympic Games Beijing 2008,01:52.70,13/08/2008,Men 200 Butterfly LCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,13,13,1029,Beijing,CHN
Hungarian National Championships (50m),01:52.71,28/03/2018,Men 200 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,14,14,968,Debrecen,HUN
European Championships 2018,01:52.79,05/08/2018,Men 200 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,15,15,966,Glasgow,GBR
European Championships 2016,01:52.91,19/05/2016,Men 200 Butterfly LCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,16,16,963,London,GBR
US National Championships (50m),01:52.94,07/08/2015,Men 200 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,17,17,962,San Antonio,USA
18th FINA World Championships 2019,01:52.96,23/07/2019,Men 200 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,18,18,961,Gwangju,KOR
Olympic Games London 2012,01:52.96,31/07/2012,Men 200 Butterfly LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,18,19,961,London,GBR
Olympic Games Beijing 2008,01:52.97,13/08/2008,Men 200 Butterfly LCM Male,JPN,Japan,"MATSUDA, Takeshi",M,23/06/1984,,,20,20,1021,Beijing,CHN
Olympic Games London 2012,01:53.01,31/07/2012,Men 200 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,21,21,960,London,GBR
58th International Trophy “Settecolli”,01:53.18,26/06/2021,Men 200 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,22,22,936,Rome,ITA
Hungarian National Championships (50m),01:53.19,27/03/2019,Men 200 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,23,23,956,Debrecen,HUN
Olympic Games London 2012,01:53.21,31/07/2012,Men 200 Butterfly LCM Male,JPN,Japan,"MATSUDA, Takeshi",M,23/06/1984,,,24,24,955,London,GBR
13th FINA World Championships 2009,01:53.23,29/07/2009,Men 200 Butterfly LCM Male,POL,Poland,"KORZENIOWSKI, Pawel",M,09/07/1985,,,25,25,,Rome,ITA
13th FINA World Championships 2009,01:53.32,29/07/2009,Men 200 Butterfly LCM Male,JPN,Japan,"MATSUDA, Takeshi",M,23/06/1984,,,26,26,,Rome,ITA
17th FINA World Championships 2017,01:53.33,26/07/2017,Men 200 Butterfly LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,27,27,952,Budapest,HUN
14th FINA World Championships 2011,01:53.34,27/07/2011,Men 200 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,28,28,952,Shanghai,CHN
13th FINA World Championships 2009,01:53.35,28/07/2009,Men 200 Butterfly LCM Male,JPN,Japan,"MATSUDA, Takeshi",M,23/06/1984,,,29,29,,Rome,ITA
Olympic Games Rio 2016,01:53.36,09/08/2016,Men 200 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,30,30,951,Rio de Janeiro,BRA
19th FINA World Championships Budapest 2022,01:53.37,21/06/2022,Men 200 Butterfly LCM Male,FRA,France,"MARCHAND, Leon",M,17/05/2002,,,31,31,931,Budapest,HUN
Olympic Games Rio 2016,01:53.40,09/08/2016,Men 200 Butterfly LCM Male,JPN,Japan,"SAKAI, Masato",M,06/06/1995,,,32,32,950,Rio de Janeiro,BRA
Hungarian National Championships (50m),01:53.42,27/03/2019,Men 200 Butterfly LCM Male,HUN,Hungary,"KENDERESI, Tamas",M,13/12/1996,,,33,33,950,Debrecen,HUN
16th FINA World Championships 2015,01:53.48,05/08/2015,Men 200 Butterfly LCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,34,34,948,Kazan,RUS
13th FINA World Championships 2009,01:53.48,28/07/2009,Men 200 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,34,35,,Rome,ITA
16th FINA World Championships 2015,01:53.53,04/08/2015,Men 200 Butterfly LCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,36,36,947,Kazan,RUS
Olympic Games Tokyo 2020,01:53.58,26/07/2021,Men 200 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,37,37,926,Tokyo,JPN
19th FINA World Championships Budapest 2022,01:53.61,21/06/2022,Men 200 Butterfly LCM Male,JPN,Japan,"HONDA, Tomoru",M,31/12/2001,,,38,38,925,Budapest,HUN
Olympic Games Rio 2016,01:53.62,09/08/2016,Men 200 Butterfly LCM Male,HUN,Hungary,"KENDERESI, Tamas",M,13/12/1996,,,39,39,945,Rio de Janeiro,BRA
FINA Champions Swim Series 2019,01:53.64,11/05/2019,Men 200 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,40,40,944,Budapest,HUN
US Olympic Team Trials,01:53.65,25/06/2012,Men 200 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,41,41,944,Omaha,USA
16th FINA World Championships 2015,01:53.68,05/08/2015,Men 200 Butterfly LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,42,42,943,Kazan,RUS
Olympic Games Beijing 2008,01:53.70,12/08/2008,Men 200 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,43,43,1002,Beijing,CHN
Olympic Games Beijing 2008,01:53.70,11/08/2008,Men 200 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,43,44,1002,Beijing,CHN
Japan Swim 2017,01:53.71,15/04/2017,Men 200 Butterfly LCM Male,JPN,Japan,"SAKAI, Masato",M,06/06/1995,,,45,45,943,Aichi,JPN
16th FINA World Championships 2015,01:53.71,04/08/2015,Men 200 Butterfly LCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,45,46,943,Kazan,RUS
MV Mizzou Grand Prix 2007,01:53.71,17/02/2007,Men 200 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,45,47,,Columbia,USA
17th FINA World Championships 2017,01:53.72,26/07/2017,Men 200 Butterfly LCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,48,48,942,Budapest,HUN
Olympic Games Tokyo 2020,01:53.73,28/07/2021,Men 200 Butterfly LCM Male,JPN,Japan,"HONDA, Tomoru",M,31/12/2001,,,49,49,922,Tokyo,JPN
13th FINA World Championships 2009,01:53.75,28/07/2009,Men 200 Butterfly LCM Male,POL,Poland,"KORZENIOWSKI, Pawel",M,09/07/1985,,,50,50,,Rome,ITA
Japan Swim 2018,01:53.79,06/04/2018,Men 200 Butterfly LCM Male,JPN,Japan,"HOROMURA, Nao",M,31/01/1999,,,51,51,941,Tokyo,JPN
European Junior Swimming Championships 2017,01:53.79,30/06/2017,Men 200 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,51,52,941,Netanya,ISR
10th Pan Pacific Championships 2006,01:53.80,17/08/2006,Men 200 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,53,53,,Victoria,CAN
TYR Pro Swim Series Clovis 2019,01:53.84,14/06/2019,Men 200 Butterfly LCM Male,USA,United States of America,"URLANDO, Luca",M,16/03/2002,,,54,54,939,Clovis,USA
18th FINA World Championships 2019,01:53.86,24/07/2019,Men 200 Butterfly LCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,55,55,939,Gwangju,KOR
6th FINA World Junior Swimming Championships 2017,01:53.87,28/08/2017,Men 200 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,56,56,939,Indianapolis,USA
Hungarian National Championships (50m),01:53.88,21/04/2022,Men 200 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,57,57,919,Debrecen,HUN
Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2022,01:53.89,26/05/2022,Men 200 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,58,58,919,Barcelona,ESP
29th Summer Universiade 2017,01:53.90,23/08/2017,Men 200 Butterfly LCM Male,JPN,Japan,"HOROMURA, Nao",M,31/01/1999,,,59,59,938,Taipei City,TPE
10th FINA World Championships 2003,01:53.93,22/07/2003,Men 200 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,60,60,,Barcelona,ESP
European Junior Swimming Championships 2018,01:53.94,06/07/2018,Men 200 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,61,61,937,Helsinki,FIN
Olympic Games Rio 2016,01:53.96,08/08/2016,Men 200 Butterfly LCM Male,HUN,Hungary,"KENDERESI, Tamas",M,13/12/1996,,,62,62,936,Rio de Janeiro,BRA
