meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
11th Chinese National Games,02:01.81,21/10/2009,Women 200 Butterfly LCM Female,CHN,People's Republic of China,"LIU, Zige",F,31/03/1989,,,1,1,,Jinan,CHN
13th FINA World Championships 2009,02:03.41,30/07/2009,Women 200 Butterfly LCM Female,AUS,Australia,"SCHIPPER, Jess",F,19/11/1986,,,2,2,,Rome,ITA
Olympic Games Tokyo 2020,02:03.86,29/07/2021,Women 200 Butterfly LCM Female,CHN,People's Republic of China,"ZHANG, Yufei",F,19/04/1998,,,3,3,951,Tokyo,JPN
13th FINA World Championships 2009,02:03.90,30/07/2009,Women 200 Butterfly LCM Female,CHN,People's Republic of China,"LIU, Zige",F,31/03/1989,,,4,4,,Rome,ITA
Olympic Games London 2012,02:04.06,01/08/2012,Women 200 Butterfly LCM Female,CHN,People's Republic of China,"JIAO, Liuyang",F,06/08/1991,,,5,5,946,London,GBR
13th FINA World Championships 2009,02:04.14,29/07/2009,Women 200 Butterfly LCM Female,USA,United States of America,"DESCENZA, Mary",F,17/09/1984,,,6,6,,Rome,ITA
Olympic Games Beijing 2008,02:04.18,14/08/2008,Women 200 Butterfly LCM Female,CHN,People's Republic of China,"LIU, Zige",F,31/03/1989,,,7,7,1035,Beijing,CHN
13th FINA World Championships 2009,02:04.27,29/07/2009,Women 200 Butterfly LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,8,8,,Rome,ITA
13th FINA World Championships 2009,02:04.28,30/07/2009,Women 200 Butterfly LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,9,9,,Rome,ITA
13th FINA World Championships 2009,02:04.33,29/07/2009,Women 200 Butterfly LCM Female,USA,United States of America,"DESCENZA, Mary",F,17/09/1984,,,10,10,,Rome,ITA
Chinese National Championships (50m),02:04.40,02/04/2011,Women 200 Butterfly LCM Female,CHN,People's Republic of China,"LIU, Zige",F,31/03/1989,,,11,11,938,Wuhan,CHN
13th FINA World Championships 2009,02:04.41,30/07/2009,Women 200 Butterfly LCM Female,USA,United States of America,"DESCENZA, Mary",F,17/09/1984,,,12,12,,Rome,ITA
Chinese National Championships (50m),02:04.44,02/04/2011,Women 200 Butterfly LCM Female,CHN,People's Republic of China,"JIAO, Liuyang",F,06/08/1991,,,13,13,937,Wuhan,CHN
13th FINA World Championships 2009,02:04.50,30/07/2009,Women 200 Butterfly LCM Female,CHN,People's Republic of China,"JIAO, Liuyang",F,06/08/1991,,,14,14,,Rome,ITA
Chinese National Championships (50m),02:04.54,04/09/2013,Women 200 Butterfly LCM Female,CHN,People's Republic of China,"JIAO, Liuyang",F,06/08/1991,,,15,15,935,Shenyang ,CHN
15th FINA World Championships 2013,02:04.59,01/08/2013,Women 200 Butterfly LCM Female,CHN,People's Republic of China,"LIU, Zige",F,31/03/1989,,,16,16,934,Barcelona,ESP
Japan National Championships (50m),02:04.69,02/04/2012,Women 200 Butterfly LCM Female,JPN,Japan,"HOSHI, Natsumi",F,21/08/1990,,,17,17,932,Tokyo,JPN
Olympic Games Beijing 2008,02:04.72,14/08/2008,Women 200 Butterfly LCM Female,CHN,People's Republic of China,"JIAO, Liuyang",F,06/08/1991,,,18,18,1022,Beijing,CHN
15th FINA World Championships 2013,02:04.78,01/08/2013,Women 200 Butterfly LCM Female,ESP,Spain,"BELMONTE, Mireia",F,10/11/1990,,,19,19,930,Barcelona,ESP
European Championships 2014,02:04.79,24/08/2014,Women 200 Butterfly LCM Female,ESP,Spain,"BELMONTE, Mireia",F,10/11/1990,,,20,20,930,Berlin,GER
British National Championships (50m),02:04.83,19/03/2009,Women 200 Butterfly LCM Female,GBR,Great Britain,"GANDY, Ellen",F,15/08/1991,,,21,21,,Sheffield,GBR
Olympic Games Rio 2016,02:04.85,10/08/2016,Women 200 Butterfly LCM Female,ESP,Spain,"BELMONTE, Mireia",F,10/11/1990,,,22,22,928,Rio de Janeiro,BRA
13th FINA World Championships 2009,02:04.87,29/07/2009,Women 200 Butterfly LCM Female,AUS,Australia,"SCHIPPER, Jess",F,19/11/1986,,,23,23,,Rome,ITA
Olympic Games Rio 2016,02:04.88,10/08/2016,Women 200 Butterfly LCM Female,AUS,Australia,"GROVES, Madeline",F,25/05/1995,,,24,24,928,Rio de Janeiro,BRA
Olympic Games Tokyo 2020,02:04.89,28/07/2021,Women 200 Butterfly LCM Female,CHN,People's Republic of China,"ZHANG, Yufei",F,19/04/1998,,,25,25,927,Tokyo,JPN
13th FINA World Championships 2009,02:04.96,29/07/2009,Women 200 Butterfly LCM Female,CHN,People's Republic of China,"JIAO, Liuyang",F,06/08/1991,,,26,26,,Rome,ITA
13th FINA World Championships 2009,02:05.09,29/07/2009,Women 200 Butterfly LCM Female,FRA,France,"MONGEL, Aurore",F,19/04/1982,,,27,27,,Rome,ITA
Chinese National Championships (50m),02:05.18,01/04/2012,Women 200 Butterfly LCM Female,CHN,People's Republic of China,"JIAO, Liuyang",F,06/08/1991,,,28,28,921,Shaoxing,CHN
19th FINA World Championships Budapest 2022,02:05.20,22/06/2022,Women 200 Butterfly LCM Female,CAN,Canada,"MCINTOSH, Summer",F,18/08/2006,,,29,29,920,Budapest,HUN
Olympic Games Rio 2016,02:05.20,10/08/2016,Women 200 Butterfly LCM Female,JPN,Japan,"HOSHI, Natsumi",F,21/08/1990,,,29,30,920,Rio de Janeiro,BRA
Olympic Games London 2012,02:05.25,01/08/2012,Women 200 Butterfly LCM Female,ESP,Spain,"BELMONTE, Mireia",F,10/11/1990,,,31,31,919,London,GBR
17th FINA World Championships 2017,02:05.26,27/07/2017,Women 200 Butterfly LCM Female,ESP,Spain,"BELMONTE, Mireia",F,10/11/1990,,,32,32,919,Budapest,HUN
German Open,02:05.26,04/07/2015,Women 200 Butterfly LCM Female,GER,Germany,"HENTKE, Franziska",F,04/06/1989,,,32,33,919,Essen,GER
German Open ,02:05.26,03/07/2015,Women 200 Butterfly LCM Female,GER,Germany,"HENTKE, Franziska",F,04/06/1989,,,32,34,919,Essen,GER
13th FINA World Championships 2009,02:05.29,29/07/2009,Women 200 Butterfly LCM Female,CHN,People's Republic of China,"LIU, Zige",F,31/03/1989,,,35,35,,Rome,ITA
Olympic Games Tokyo 2020,02:05.30,29/07/2021,Women 200 Butterfly LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,36,36,918,Tokyo,JPN
British Gas National Championships (50m),02:05.36,14/06/2011,Women 200 Butterfly LCM Female,GBR,Great Britain,"LOWE, Jemma",F,31/03/1990,,,37,37,917,Sheffield,GBR
British Gas National Championships (50m),02:05.36,14/06/2011,Women 200 Butterfly LCM Female,GBR,Great Britain,"LOWE, Jemma",F,31/03/1990,,,37,38,917,Sheffield,GBR
