meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
55th International Trophy “Settecolli”,22.27,01/07/2018,Men 50 Butterfly LCM Male,UKR,Ukraine,"GOVOROV, Andrii",M,10/04/1992,,,1,1,1021,Rome,ITA
18th FINA World Championships 2019,22.35,22/07/2019,Men 50 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,2,2,989,Gwangju,KOR
Spanish National Championships (50m),22.43,05/04/2009,Men 50 Butterfly LCM Male,ESP,Spain,"MUNOZ, Rafael",M,03/03/1988,,,3,3,,Malaga,ESP
European Championships 2018,22.48,07/08/2018,Men 50 Butterfly LCM Male,UKR,Ukraine,"GOVOROV, Andrii",M,10/04/1992,,,4,4,993,Glasgow,GBR
Mare Nostrum - 36th Meeting International de Natation de Monte Carlo 2018,22.53,16/06/2018,Men 50 Butterfly LCM Male,UKR,Ukraine,"GOVOROV, Andrii",M,10/04/1992,,,5,5,986,Monaco,MON
19th FINA World Championships Budapest 2022,22.57,19/06/2022,Men 50 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,6,6,960,Budapest,HUN
18th FINA World Championships 2019,22.57,21/07/2019,Men 50 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,6,7,960,Gwangju,KOR
FINA Champions Swim Series 2019,22.60,11/05/2019,Men 50 Butterfly LCM Male,BRA,Brazil,"SANTOS, Nicholas",M,14/02/1980,,,8,8,956,Budapest,HUN
Maria Lenk Trophy 2017,22.61,03/05/2017,Men 50 Butterfly LCM Male,BRA,Brazil,"SANTOS, Nicholas",M,14/02/1980,,,9,9,976,Rio de Janeiro,BRA
13th FINA World Championships 2009,22.67,27/07/2009,Men 50 Butterfly LCM Male,SRB,Serbia,"CAVIC, Milorad",M,31/05/1984,,,10,10,,Rome,ITA
