meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
European Championships 2018,27.46,04/08/2018,Women 50 Backstroke LCM Female,GBR,Great Britain,"DAVIES, Georgia",F,11/10/1990,,,76,79,956,Glasgow,GBR
19th FINA World Championships Budapest 2022,27.47,22/06/2022,Women 50 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,80,80,947,Budapest,HUN
19th FINA World Championships Budapest 2022,27.47,22/06/2022,Women 50 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,80,81,947,Budapest,HUN
Mare Nostrum - Meeting International de Canet-en-Roussillon 2022,27.47,28/05/2022,Women 50 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,80,82,947,Canet en Roussillon,FRA
Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2022,27.47,25/05/2022,Women 50 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,80,83,947,Barcelona,ESP
Australian National Championships (50m),27.47,06/04/2015,Women 50 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,05/06/1992,,,80,84,955,Sydney,AUS
17th FINA World Championships 2017,27.48,26/07/2017,Women 50 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,28/02/1997,,,85,85,954,Budapest,HUN
19th FINA World Championships Budapest 2022,27.49,21/06/2022,Women 50 Backstroke LCM Female,USA,United States of America,"BERKOFF, Katharine",F,28/01/2001,,,86,86,945,Budapest,HUN
Rotterdam Qualification Meet,27.49,04/12/2020,Women 50 Backstroke LCM Female,NED,Netherlands,"TOUSSAINT, Kira",F,22/05/1994,,,86,87,945,Rotterdam,NED
FINA Swimming World Cup 2019,27.49,11/10/2019,Women 50 Backstroke LCM Female,NED,Netherlands,"TOUSSAINT, Kira",F,22/05/1994,,,86,88,945,Berlin,GER
European Championships 2018,27.49,04/08/2018,Women 50 Backstroke LCM Female,RUS,Russian Federation,"FESIKOVA, Anastasiia",F,08/05/1990,,,86,89,953,Glasgow,GBR
17th FINA World Championships 2017,27.49,26/07/2017,Women 50 Backstroke LCM Female,GBR,Great Britain,"DAVIES, Georgia",F,11/10/1990,,,86,90,953,Budapest,HUN
Brisbane Sprint Champs,27.49,29/01/2016,Women 50 Backstroke LCM Female,AUS,Australia,"ATHERTON, Minna",F,17/05/2000,,,86,91,953,Brisbane,AUS
FINA/airweave Swimming World Cup 2015,27.49,28/10/2015,Women 50 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,05/06/1992,,,86,92,953,Tokyo,JPN
17th FINA World Championships 2017,27.50,27/07/2017,Women 50 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,28/02/1997,,,93,93,952,Budapest,HUN
18th FINA World Championships 2019,27.51,25/07/2019,Women 50 Backstroke LCM Female,RUS,Russian Federation,"VASKINA, Daria",F,30/07/2002,,,94,94,943,Gwangju,KOR
17th FINA World Championships 2017,27.51,26/07/2017,Women 50 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,05/06/1992,,,94,95,951,Budapest,HUN
17th FINA World Championships 2017,27.51,26/07/2017,Women 50 Backstroke LCM Female,AUS,Australia,"BARRATT, Holly",F,01/01/1988,,,94,96,951,Budapest,HUN
Arena Pro Swim Series at Santa Clara 2015,27.51,19/06/2015,Women 50 Backstroke LCM Female,USA,United States of America,"COUGHLIN, Natalie",F,23/08/1982,,,94,97,951,Santa Clara,USA
Chinese National Championships (50m),27.51,12/05/2014,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"FU, Yuanhui",F,07/01/1996,,,94,98,951,QINGDAO,CHN
Japan National Championships (50m),27.51,11/04/2013,Women 50 Backstroke LCM Female,JPN,Japan,"TERAKAWA, Aya",F,12/11/1984,,,94,99,951,Nagaoka,JPN
13th FINA World Championships 2009,27.51,29/07/2009,Women 50 Backstroke LCM Female,AUS,Australia,"EDINGTON, Sophie",F,12/12/1984,,,94,100,,Rome,ITA
Hancock Prospecting Australian Swimming Club Championships 2021,27.52,14/04/2021,Women 50 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,101,101,942,Gold Coast,AUS
Swim Open Stockholm,27.53,30/03/2016,Women 50 Backstroke LCM Female,BLR,Belarus,"HERASIMENIA, Aliaksandra",F,31/12/1985,,,102,102,949,Stockholm,SWE
15th FINA World Championships 2013,27.53,01/08/2013,Women 50 Backstroke LCM Female,JPN,Japan,"TERAKAWA, Aya",F,12/11/1984,,,102,103,949,Barcelona,ESP
Mare Nostrum - 31st Meeting International de Natation de Monte Carlo 2013,27.53,08/06/2013,Women 50 Backstroke LCM Female,JPN,Japan,"TERAKAWA, Aya",F,12/11/1984,,,102,104,949,Monaco,MON
17th FINA World Championships 2017,27.54,26/07/2017,Women 50 Backstroke LCM Female,BLR,Belarus,"HERASIMENIA, Aliaksandra",F,31/12/1985,,,105,105,948,Budapest,HUN
Russian National Championships (50m),27.54,17/04/2012,Women 50 Backstroke LCM Female,RUS,Russian Federation,"FESIKOVA, Anastasiia",F,08/05/1990,,,105,106,948,Moscow,RUS
19th FINA World Championships Budapest 2022,27.55,21/06/2022,Women 50 Backstroke LCM Female,CAN,Canada,"WILM, Ingrid",F,08/06/1998,,,107,107,939,Budapest,HUN
17th FINA World Championships 2017,27.55,27/07/2017,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"WANG, Xueer",F,15/01/1998,,,107,108,947,Budapest,HUN
National Chinese Championships (50m),27.55,08/04/2017,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"WANG, Xueer",F,15/01/1998,,,107,109,947,Qingdae,CHN
FINA/airweave Swimming World Cup 2015,27.55,29/09/2015,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"FU, Yuanhui",F,07/01/1996,,,107,110,947,Beijing,CHN
15th FINA World Championships 2013,27.55,31/07/2013,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"FU, Yuanhui",F,07/01/1996,,,107,111,947,Barcelona,ESP
19th FINA World Championships Budapest 2022,27.56,21/06/2022,Women 50 Backstroke LCM Female,GBR,Great Britain,"HARRIS, Medi Eira",F,15/09/2002,,,112,112,938,Budapest,HUN
National Chinese Championships (50m),27.56,08/04/2017,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"LIU, Xiang",F,01/09/1996,,,112,113,946,Qingdae,CHN
20th Commonwealth Games 2014,27.56,29/07/2014,Women 50 Backstroke LCM Female,GBR,Great Britain,"DAVIES, Georgia",F,11/10/1990,,,112,114,946,Glasgow,GBR
54th International Trophy “Settecolli”,27.57,23/06/2017,Women 50 Backstroke LCM Female,AUS,Australia,"BARRATT, Holly",F,01/01/1988,,,115,115,945,Rome,ITA
European Championships 2016,27.57,21/05/2016,Women 50 Backstroke LCM Female,GBR,Great Britain,"HALSALL, Fran",F,12/04/1990,,,115,116,945,London,GBR
FINA/airweave Swimming World Cup 2015,27.57,06/11/2015,Women 50 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,05/06/1992,,,115,117,945,Dubai,UAE
13th FINA World Championships 2009,27.57,29/07/2009,Women 50 Backstroke LCM Female,BLR,Belarus,"HERASIMENIA, Aliaksandra",F,31/12/1985,,,115,118,,Rome,ITA
19th FINA World Championships Budapest 2022,27.58,21/06/2022,Women 50 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,119,119,936,Budapest,HUN
FINA Champions Swim Series 2020,27.58,18/01/2020,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"LIU, Xiang",F,01/09/1996,,,119,120,936,Beijing,CHN
FINA Champions Swim Series 2019,27.58,11/05/2019,Women 50 Backstroke LCM Female,RUS,Russian Federation,"FESIKOVA, Anastasiia",F,08/05/1990,,,119,121,936,Budapest,HUN
16th FINA World Championships 2015,27.58,06/08/2015,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"LIU, Xiang",F,01/09/1996,,,119,122,944,Kazan,RUS
National French Championships (50m),27.59,18/06/2021,Women 50 Backstroke LCM Female,FRA,France,"PIGREE, Analia",F,31/07/2001,,,123,123,935,Chartres,FRA
13th FINA World Championships 2009,27.59,29/07/2009,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"ZHAO, Jing",F,31/12/1990,,,123,124,,Rome,ITA
European Championships 2021,27.60,18/05/2021,Women 50 Backstroke LCM Female,NED,Netherlands,"TOUSSAINT, Kira",F,22/05/1994,,,125,125,934,Budapest,HUN
