meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
18th FINA World Championships 2019,02:03.35,26/07/2019,Women 200 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,1,1,1017,Gwangju,KOR
18th FINA World Championships 2019,02:03.69,27/07/2019,Women 200 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,2,2,1009,Gwangju,KOR
Olympic Games London 2012,02:04.06,03/08/2012,Women 200 Backstroke LCM Female,USA,United States of America,"FRANKLIN, Missy",F,10/05/1995,,,3,3,1018,London,GBR
Hancock Prospecting Australian Swimming Trials 2021,02:04.28,17/06/2021,Women 200 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,4,4,977,Adelaide,AUS
Sydney Open 2021,02:04.31,13/05/2021,Women 200 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,5,5,977,Sydney,AUS
Swimming QLD Prep meet,02:04.49,15/11/2020,Women 200 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,6,6,972,Brisbane,AUS
Victorian Open Championships 2022,02:04.64,18/02/2022,Women 200 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,7,7,969,Melbourne,AUS
Olympic Games Tokyo 2020,02:04.68,31/07/2021,Women 200 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,8,8,968,Tokyo,JPN
15th FINA World Championships 2013,02:04.76,03/08/2013,Women 200 Backstroke LCM Female,USA,United States of America,"FRANKLIN, Missy",F,10/05/1995,,,9,9,983,Barcelona,ESP
13th FINA World Championships 2009,02:04.81,01/08/2009,Women 200 Backstroke LCM Female,ZIM,Zimbabwe,"COVENTRY, Kirsty",F,16/09/1983,,,10,10,,Rome,ITA
13th FINA World Championships 2009,02:04.94,01/08/2009,Women 200 Backstroke LCM Female,RUS,Russian Federation,"ZUEVA, Anastasia",F,08/05/1990,,,11,11,,Rome,ITA
19th FINA World Championships Budapest 2022,02:05.08,24/06/2022,Women 200 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,12,12,959,Budapest,HUN
Phillips 66 International Team Trials 2022,02:05.08,27/04/2022,Women 200 Backstroke LCM Female,USA,United States of America,"BACON, Phoebe",F,12/08/2002,,,12,13,959,Greensboro,USA
14th FINA World Championships 2011,02:05.10,30/07/2011,Women 200 Backstroke LCM Female,USA,United States of America,"FRANKLIN, Missy",F,10/05/1995,,,14,14,993,Shanghai,CHN
19th FINA World Championships Budapest 2022,02:05.12,24/06/2022,Women 200 Backstroke LCM Female,USA,United States of America,"BACON, Phoebe",F,12/08/2002,,,15,15,958,Budapest,HUN
Phillips 66 International Team Trials 2022,02:05.13,27/04/2022,Women 200 Backstroke LCM Female,USA,United States of America,"WHITE, Rhyan",F,25/01/2000,,,16,16,957,Greensboro,USA
McDonald’s Queensland Championships 2020,02:05.16,15/12/2020,Women 200 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,17,17,957,Brisbane,AUS
Olympic Games Beijing 2008,02:05.24,16/08/2008,Women 200 Backstroke LCM Female,ZIM,Zimbabwe,"COVENTRY, Kirsty",F,16/09/1983,,,18,18,1041,Beijing,CHN
Australian National Championships (50m),02:05.31,21/05/2022,Women 200 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,19,19,953,Adelaide,AUS
Olympic Games Tokyo 2020,02:05.42,31/07/2021,Women 200 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,20,20,951,Tokyo,JPN
Sydney Open 2021,02:05.55,13/05/2021,Women 200 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,21,21,948,Sydney,AUS
Italian National Championships (50m),02:05.56,31/03/2021,Women 200 Backstroke LCM Female,ITA,Italy,"PANZIERA, Margherita",F,12/08/1995,,,22,22,948,Riccione,ITA
Phillips 66 International Team Trials 2022,02:05.65,27/04/2022,Women 200 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,23,23,946,Greensboro,USA
SNSW State Open Championships 2021,02:05.66,18/03/2021,Women 200 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,24,24,945,Sydney,AUS
17th FINA World Championships 2017,02:05.68,29/07/2017,Women 200 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,05/06/1992,,,25,25,961,Budapest,HUN
US National Championships (50m),02:05.68,25/06/2013,Women 200 Backstroke LCM Female,USA,United States of America,"FRANKLIN, Missy",F,10/05/1995,,,25,26,961,Indianapolis,USA
Italian National Championships (50m),02:05.72,06/04/2019,Women 200 Backstroke LCM Female,ITA,Italy,"PANZIERA, Margherita",F,12/08/1995,,,27,27,960,Riccione,ITA
US Olympic Team Trials - Wave II,02:05.73,19/06/2021,Women 200 Backstroke LCM Female,USA,United States of America,"WHITE, Rhyan",F,25/01/2000,,,28,28,944,Omaha,USA
17th FINA World Championships 2017,02:05.81,28/07/2017,Women 200 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,05/06/1992,,,29,29,958,Budapest,HUN
16th FINA World Championships 2015,02:05.81,08/08/2015,Women 200 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,05/06/1992,,,29,30,958,Kazan,RUS
NSW Open State Championships 2022,02:05.85,04/03/2022,Women 200 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,31,31,941,Sydney,AUS
17th FINA World Championships 2017,02:05.85,29/07/2017,Women 200 Backstroke LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,31,32,957,Budapest,HUN
13th FINA World Championships 2009,02:05.86,31/07/2009,Women 200 Backstroke LCM Female,ZIM,Zimbabwe,"COVENTRY, Kirsty",F,16/09/1983,,,33,33,,Rome,ITA
14th FINA World Championships 2011,02:05.90,29/07/2011,Women 200 Backstroke LCM Female,USA,United States of America,"FRANKLIN, Missy",F,10/05/1995,,,34,34,974,Shanghai,CHN
Olympic Games London 2012,02:05.92,03/08/2012,Women 200 Backstroke LCM Female,RUS,Russian Federation,"ZUEVA, Anastasia",F,08/05/1990,,,35,35,973,London,GBR
19th FINA World Championships Budapest 2022,02:05.93,23/06/2022,Women 200 Backstroke LCM Female,USA,United States of America,"BACON, Phoebe",F,12/08/2002,,,36,36,939,Budapest,HUN
TYR Pro Swim Series Knoxville 2020,02:05.94,19/01/2020,Women 200 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,37,37,939,Knoxville,USA
Canadian Swimming Trials 2019,02:05.94,05/04/2019,Women 200 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,37,38,955,Toronto,CAN
17th FINA World Championships 2017,02:05.97,28/07/2017,Women 200 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,39,39,955,Budapest,HUN
21st Commonwealth Games 2018,02:05.98,08/04/2018,Women 200 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,40,40,954,Gold Coast,AUS
