meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
European Championships 2012,01:55.28,26/05/2012,Men 200 Backstroke LCM Male,POL,Poland,"KAWECKI, Radoslaw",M,16/08/1991,,,158,158,915,Debrecen,HUN
Swimming Australia Grand Prix 2016,01:55.31,02/07/2016,Men 200 Backstroke LCM Male,AUS,Australia,"LARKIN, Mitchell",M,09/07/1993,,,159,159,914,Brisbane,AUS
US Olympic Team Trials - Swimming,01:55.33,01/07/2016,Men 200 Backstroke LCM Male,USA,United States of America,"CLARY, Tyler",M,12/03/1989,,,160,160,913,Omaha,USA
Russian National Swimming Championships (50m),01:55.34,07/04/2021,Men 200 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,161,161,913,Kazan,RUS
19th FINA World Championships Budapest 2022,01:55.35,23/06/2022,Men 200 Backstroke LCM Male,USA,United States of America,"CASAS, Shaine",M,25/12/1999,,,162,162,913,Budapest,HUN
Kosuke Kitajima Cup 2020,01:55.35,25/01/2020,Men 200 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,162,163,913,Tokyo,JPN
Mare Nostrum - 33th Meeting International de Natation de Monte Carlo 2015,01:55.36,13/06/2015,Men 200 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,164,164,913,Monaco,MON
13th FINA World Championships 2009,01:55.36,31/07/2009,Men 200 Backstroke LCM Male,RUS,Russian Federation,"DONETC, Stanislav",M,07/07/1983,,,164,165,,Rome,ITA
Olympic Games Tokyo 2020,01:55.38,29/07/2021,Men 200 Backstroke LCM Male,USA,United States of America,"MURPHY, Ryan",M,02/07/1995,,,166,166,912,Tokyo,JPN
Arena Pro Swim Series Santa Clara 2016,01:55.38,05/06/2016,Men 200 Backstroke LCM Male,AUS,Australia,"LARKIN, Mitchell",M,09/07/1993,,,166,167,912,Santa Clara,USA
Japan Open 2015,01:55.38,23/05/2015,Men 200 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,166,168,912,Tokyo,JPN
Japan Open 2013 (50m),01:55.39,24/05/2013,Men 200 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,169,169,912,Sagamihara,JPN
13th FINA World Championships 2009,01:55.39,30/07/2009,Men 200 Backstroke LCM Male,USA,United States of America,"LOCHTE, Ryan",M,03/08/1984,,,169,170,,Rome,ITA
Pan Pacs Trials 2018,01:55.40,30/06/2018,Men 200 Backstroke LCM Male,AUS,Australia,"LARKIN, Mitchell",M,09/07/1993,,,171,171,912,Adelaide,AUS
Olympic Games London 2012,01:55.40,01/08/2012,Men 200 Backstroke LCM Male,USA,United States of America,"LOCHTE, Ryan",M,03/08/1984,,,171,172,912,London,GBR
Olympic Games Beijing 2008,01:55.40,14/08/2008,Men 200 Backstroke LCM Male,USA,United States of America,"LOCHTE, Ryan",M,03/08/1984,,,171,173,996,Beijing,CHN
2017 National Games ,01:55.42,01/09/2017,Men 200 Backstroke LCM Male,CHN,People's Republic of China,"XU, Jiayu",M,19/08/1995,,,174,174,911,Tianjin,CHN
19th FINA World Championships Budapest 2022,01:55.43,22/06/2022,Men 200 Backstroke LCM Male,USA,United States of America,"MURPHY, Ryan",M,02/07/1995,,,175,175,911,Budapest,HUN
Chinese National Championships (50m),01:55.43,13/04/2018,Men 200 Backstroke LCM Male,CHN,People's Republic of China,"XU, Jiayu",M,19/08/1995,,,175,176,911,Taiyuan,CHN
Chinese Nationals,01:55.43,13/04/2018,Men 200 Backstroke LCM Male,CHN,People's Republic of China,"XU, Jiayu",M,19/08/1995,,,175,177,911,Shanxi,CHN
Russian National Championships (50m),01:55.43,20/04/2016,Men 200 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,175,178,911,Moscow,RUS
Russian National Championships (50m),01:55.43,16/04/2016,Men 200 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,175,179,911,Moscow,RUS
15th FINA World Championships 2013,01:55.43,02/08/2013,Men 200 Backstroke LCM Male,JPN,Japan,"HAGINO, Kosuke",M,15/08/1994,,,175,180,911,Barcelona,ESP
European Championships 2006,01:55.44,05/08/2006,Men 200 Backstroke LCM Male,RUS,Russian Federation,"VYATCHANIN, Arkady",M,04/04/1984,,,181,181,,Budapest,HUN
16th Asian Games 2010,01:55.45,15/11/2010,Men 200 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,182,182,911,Guangzhou,CHN
Phillips 66 International Team Trials 2022,01:55.46,27/04/2022,Men 200 Backstroke LCM Male,USA,United States of America,"CASAS, Shaine",M,25/12/1999,,,183,183,910,Greensboro,USA
Atlanta PSS 2018,01:55.46,02/03/2018,Men 200 Backstroke LCM Male,USA,United States of America,"MURPHY, Ryan",M,02/07/1995,,,183,184,910,Atlanta,USA
27th Summer Universiade 2013,01:55.47,15/07/2013,Men 200 Backstroke LCM Male,USA,United States of America,"CONGER, Jack",M,26/09/1994,,,185,185,910,Kazan,RUS
18th FINA World Championships 2019,01:55.48,25/07/2019,Men 200 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,186,186,910,Gwangju,KOR
Olympic Games Tokyo 2020,01:55.49,30/07/2021,Men 200 Backstroke LCM Male,USA,United States of America,"MEFFORD, Bryce",M,03/10/1998,,,187,187,910,Tokyo,JPN
Russian National Championships (50m),01:55.49,08/04/2017,Men 200 Backstroke LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09/07/2000,,,187,188,910,Moscow,RUS
Olympic Games Beijing 2008,01:55.49,15/08/2008,Men 200 Backstroke LCM Male,AUT,Austria,"ROGAN, Markus",M,04/05/1982,,,187,189,994,Beijing,CHN
European Championships 2018,01:55.50,07/08/2018,Men 200 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,190,190,909,Glasgow,GBR
Japan National Championships (50m),01:55.50,11/04/2013,Men 200 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,190,191,909,Nagaoka,JPN
Columbus PSS 2018,01:55.51,07/07/2018,Men 200 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,192,192,909,Columbus,USA
Olympic Games Rio 2016,01:55.51,10/08/2016,Men 200 Backstroke LCM Male,CHN,People's Republic of China,"XU, Jiayu",M,19/08/1995,,,192,193,909,Rio de Janeiro,BRA
Japan National Championships (50m),01:55.52,08/04/2021,Men 200 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,194,194,909,Tokyo,JPN
Olympic Games Rio 2016,01:55.52,11/08/2016,Men 200 Backstroke LCM Male,USA,United States of America,"PEBLEY, Jacob",M,17/09/1993,,,194,195,909,Rio de Janeiro,BRA
Australian National Championships (50m),01:55.52,07/04/2015,Men 200 Backstroke LCM Male,AUS,Australia,"LARKIN, Mitchell",M,09/07/1993,,,194,196,909,Sydney,AUS
National Chinese Championships (50m),01:55.53,08/04/2017,Men 200 Backstroke LCM Male,CHN,People's Republic of China,"LI, Guangyuan",M,27/02/1997,,,197,197,909,Qingdae,CHN
18th Asian Games 2018,01:55.54,23/08/2018,Men 200 Backstroke LCM Male,JPN,Japan,"SUNAMA, Keita",M,08/05/1995,,,198,198,908,Jakarta,INA
16th FINA World Championships 2015,01:55.54,06/08/2015,Men 200 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,198,199,908,Kazan,RUS
16th FINA World Championships 2015,01:55.54,06/08/2015,Men 200 Backstroke LCM Male,POL,Poland,"KAWECKI, Radoslaw",M,16/08/1991,,,198,200,908,Kazan,RUS
